INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21027,231608,39.956360N,116.340063E,150,205,343,
2,T,21027,231610,39.956471N,116.339966E,150,192,343,
3,T,21027,231611,39.956513N,116.339933E,149,162,340,
4,T,21027,231612,39.956544N,116.339950E,149,151,341,
5,T,21027,231616,39.956853N,116.340114E,98,175,322,
6,T,21027,231617,39.956881N,116.340076E,89,159,316,
7,T,21027,231618,39.956906N,116.340033E,72,158,312,
8,T,21027,231619,39.956923N,116.339978E,59,201,287,
9,T,21027,231620,39.956930N,116.339894E,48,217,280,
10,T,21027,231621,39.956923N,116.339815E,39,245,276,
11,T,21027,231622,39.956918N,116.339716E,33,279,272,
12,T,21027,231623,39.956926N,116.339566E,27,324,272,
13,T,21027,231624,39.956931N,116.339375E,23,375,271,
14,T,21027,231625,39.956928N,116.339186E,21,429,269,
15,T,21027,231626,39.956918N,116.339043E,20,452,267,
16,T,21027,231627,39.956898N,116.338905E,19,449,266,
17,T,21027,231628,39.956885N,116.338760E,18,449,266,
18,T,21027,231629,39.956868N,116.338605E,17,450,267,
19,T,21027,231630,39.956861N,116.338418E,16,464,267,
20,T,21027,231631,39.956851N,116.338236E,16,474,266,
21,T,21027,231632,39.956836N,116.338081E,15,447,265,
22,T,21027,231633,39.956821N,116.337926E,15,443,265,
23,T,21027,231634,39.956803N,116.337778E,14,440,264,
24,T,21027,231635,39.956789N,116.337636E,14,441,263,
25,T,21027,231636,39.956771N,116.337483E,14,476,263,
26,T,21027,231637,39.956739N,116.337311E,14,488,262,
27,T,21027,231638,39.956716N,116.337158E,14,485,261,
28,T,21027,231639,39.956685N,116.337001E,14,474,258,
29,T,21027,231640,39.956653N,116.336853E,14,465,255,
30,T,21027,231641,39.956619N,116.336689E,14,476,254,
31,T,21027,231642,39.956583N,116.336516E,15,497,255,
32,T,21027,231643,39.956541N,116.336326E,16,519,256,
33,T,21027,231646,39.956436N,116.335843E,17,507,255,
34,T,21027,231647,39.956403N,116.335693E,17,476,254,
35,T,21027,231648,39.956368N,116.335541E,18,480,254,
36,T,21027,231649,39.956363N,116.335343E,19,510,258,
37,T,21027,231650,39.956343N,116.335146E,20,513,259,
38,T,21027,231651,39.956325N,116.334983E,21,495,259,
39,T,21027,231652,39.956321N,116.334810E,22,500,261,
40,T,21027,231653,39.956318N,116.334631E,23,500,263,
41,T,21027,231654,39.956304N,116.334471E,24,494,263,
42,T,21027,231655,39.956303N,116.334301E,25,494,264,
43,T,21027,231656,39.956301N,116.334131E,26,516,265,
44,T,21027,231657,39.956295N,116.333964E,26,521,265,
45,T,21027,231658,39.956310N,116.333818E,27,525,266,
46,T,21027,231659,39.956311N,116.333648E,27,520,265,
47,T,21027,231700,39.956303N,116.333479E,28,521,265,
48,T,21027,231701,39.956306N,116.333306E,28,542,265,
49,T,21027,231702,39.956299N,116.333130E,28,555,266,
50,T,21027,231703,39.956306N,116.332951E,28,563,265,
51,T,21027,231704,39.956333N,116.332761E,28,565,266,
52,T,21027,231705,39.956334N,116.332571E,28,538,266,
53,T,21027,231706,39.956311N,116.332383E,27,553,266,
54,T,21027,231707,39.956336N,116.332206E,27,547,267,
55,T,21027,231708,39.956368N,116.332016E,28,548,266,
56,T,21027,231709,39.956361N,116.331839E,28,547,266,
57,T,21027,231710,39.956344N,116.331656E,29,572,266,
58,T,21027,231711,39.956336N,116.331475E,29,553,267,
59,T,21027,231712,39.956321N,116.331301E,30,545,266,
60,T,21027,231713,39.956310N,116.331118E,31,566,266,
61,T,21027,231714,39.956291N,116.330936E,31,561,265,
62,T,21027,231715,39.956283N,116.330746E,32,572,267,
63,T,21027,231716,39.956295N,116.330553E,32,600,269,
64,T,21027,231717,39.956301N,116.330360E,32,599,271,
65,T,21027,231718,39.956296N,116.330168E,33,585,270,
66,T,21027,231719,39.956295N,116.329981E,33,578,271,
67,T,21027,231720,39.956299N,116.329810E,33,528,272,
68,T,21027,231721,39.956318N,116.329661E,33,453,276,
69,T,21027,231722,39.956325N,116.329556E,34,330,277,
70,T,21027,231723,39.956341N,116.329448E,34,342,279,
71,T,21027,231724,39.956348N,116.329358E,34,261,279,
72,T,21027,231725,39.956351N,116.329298E,34,191,279,
