INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21030,103748,39.951034N,116.341451E,17,0,0,
2,T,21030,103750,39.951050N,116.341488E,17,0,0,
3,T,21030,103751,39.951050N,116.341488E,17,0,0,
4,T,21030,103752,39.951050N,116.341488E,17,0,0,
5,T,21030,103756,39.951048N,116.341488E,20,0,0,
6,T,21030,103757,39.951048N,116.341488E,21,0,0,
7,T,21030,103758,39.951048N,116.341488E,21,0,0,
8,T,21030,103759,39.951048N,116.341486E,22,0,0,
9,T,21030,103800,39.951048N,116.341486E,22,0,0,
10,T,21030,103801,39.951048N,116.341486E,22,0,0,
11,T,21030,103802,39.951046N,116.341486E,23,0,0,
12,T,21030,103803,39.951046N,116.341486E,25,0,0,
13,T,21030,103804,39.951046N,116.341486E,27,0,0,
14,T,21030,103805,39.951046N,116.341486E,28,0,0,
15,T,21030,103806,39.951046N,116.341486E,29,0,0,
16,T,21030,103807,39.951046N,116.341486E,30,0,0,
17,T,21030,103808,39.951046N,116.341486E,30,0,0,
18,T,21030,103809,39.951046N,116.341486E,30,0,0,
19,T,21030,103810,39.951046N,116.341486E,30,0,0,
20,T,21030,103811,39.951046N,116.341486E,30,0,0,
21,T,21030,103812,39.951046N,116.341486E,31,0,0,
22,T,21030,103813,39.951046N,116.341486E,31,0,0,
23,T,21030,103814,39.951046N,116.341488E,31,0,0,
24,T,21030,103815,39.951046N,116.341488E,31,0,0,
25,T,21030,103816,39.951046N,116.341488E,31,0,0,
26,T,21030,103817,39.951046N,116.341488E,31,0,0,
27,T,21030,103818,39.951046N,116.341488E,32,0,0,
28,T,21030,103819,39.951046N,116.341490E,32,0,0,
29,T,21030,103820,39.951046N,116.341490E,32,0,0,
30,T,21030,103821,39.951048N,116.341490E,32,0,0,
31,T,21030,103822,39.951048N,116.341490E,32,0,0,
32,T,21030,103823,39.951048N,116.341490E,32,0,0,
33,T,21030,103824,39.951048N,116.341491E,32,0,0,
34,T,21030,103825,39.951048N,116.341491E,32,0,0,
35,T,21030,103826,39.951048N,116.341491E,33,0,0,
36,T,21030,103827,39.951048N,116.341491E,33,0,0,
37,T,21030,103828,39.951048N,116.341493E,33,0,0,
38,T,21030,103829,39.951048N,116.341493E,33,0,0,
39,T,21030,103830,39.951050N,116.341493E,33,0,0,
40,T,21030,103831,39.951050N,116.341493E,33,0,0,
41,T,21030,103832,39.951050N,116.341494E,33,0,0,
42,T,21030,103836,39.951099N,116.341541E,33,0,0,
43,T,21030,103837,39.951099N,116.341541E,33,0,0,
44,T,21030,103838,39.951101N,116.341546E,33,0,0,
45,T,21030,103839,39.951104N,116.341551E,34,0,0,
46,T,21030,103840,39.951108N,116.341558E,34,0,0,
47,T,21030,103841,39.951110N,116.341564E,34,0,0,
48,T,21030,103842,39.951113N,116.341570E,34,0,0,
49,T,21030,103843,39.951116N,116.341575E,34,0,0,
50,T,21030,103844,39.951119N,116.341578E,34,0,0,
51,T,21030,103845,39.951124N,116.341581E,34,0,0,
52,T,21030,103846,39.951130N,116.341586E,34,0,0,
53,T,21030,103847,39.951133N,116.341590E,34,0,0,
54,T,21030,103848,39.951141N,116.341594E,34,0,0,
55,T,21030,103849,39.951148N,116.341600E,34,0,0,
56,T,21030,103850,39.951155N,116.341604E,34,0,0,
57,T,21030,103851,39.951161N,116.341610E,34,0,0,
58,T,21030,103852,39.951166N,116.341615E,34,0,0,
59,T,21030,103853,39.951171N,116.341620E,34,0,0,
60,T,21030,103854,39.951175N,116.341626E,34,0,0,
61,T,21030,103855,39.951178N,116.341631E,35,0,0,
62,T,21030,103856,39.951183N,116.341639E,35,0,0,
63,T,21030,103857,39.951188N,116.341648E,35,0,0,
64,T,21030,103858,39.951193N,116.341658E,35,0,0,
65,T,21030,103901,39.951194N,116.341660E,35,0,0,
66,T,21030,103902,39.951194N,116.341661E,35,0,0,
67,T,21030,103903,39.951194N,116.341661E,35,0,0,
68,T,21030,103907,39.951298N,116.341721E,35,0,0,
69,T,21030,103908,39.951298N,116.341721E,35,0,0,
70,T,21030,103909,39.951299N,116.341720E,35,0,0,
71,T,21030,103910,39.951303N,116.341718E,35,0,0,
