INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21031,101105,39.950758N,116.341819E,27,0,0,
2,T,21031,101107,39.950703N,116.341841E,33,0,0,
3,T,21031,101108,39.950703N,116.341841E,33,0,0,
4,T,21031,101109,39.950705N,116.341841E,34,0,0,
5,T,21031,101113,39.950718N,116.341836E,34,0,0,
6,T,21031,101114,39.950719N,116.341835E,36,0,0,
7,T,21031,101115,39.950719N,116.341835E,38,0,0,
8,T,21031,101116,39.950721N,116.341833E,41,0,0,
9,T,21031,101117,39.950721N,116.341831E,43,0,0,
10,T,21031,101118,39.950723N,116.341830E,44,0,0,
11,T,21031,101119,39.950723N,116.341828E,46,0,0,
12,T,21031,101120,39.950724N,116.341828E,47,0,0,
13,T,21031,101121,39.950726N,116.341826E,48,0,0,
14,T,21031,101122,39.950726N,116.341824E,49,0,0,
15,T,21031,101123,39.950728N,116.341823E,50,0,0,
16,T,21031,101124,39.950730N,116.341823E,50,0,0,
17,T,21031,101127,39.950733N,116.341819E,52,0,0,
18,T,21031,101128,39.950735N,116.341818E,52,0,0,
19,T,21031,101129,39.950735N,116.341816E,53,0,0,
20,T,21031,101130,39.950736N,116.341816E,53,0,0,
21,T,21031,101131,39.950738N,116.341815E,53,0,0,
22,T,21031,101132,39.950738N,116.341813E,53,0,0,
23,T,21031,101133,39.950739N,116.341813E,53,0,0,
24,T,21031,101134,39.950741N,116.341811E,54,0,0,
25,T,21031,101135,39.950743N,116.341810E,54,0,0,
26,T,21031,101136,39.950743N,116.341810E,54,0,0,
27,T,21031,101137,39.950745N,116.341808E,54,0,0,
28,T,21031,101138,39.950746N,116.341808E,54,0,0,
29,T,21031,101139,39.950746N,116.341806E,54,0,0,
30,T,21031,101140,39.950748N,116.341806E,55,0,0,
31,T,21031,101141,39.950750N,116.341804E,55,0,0,
32,T,21031,101142,39.950750N,116.341804E,55,0,0,
33,T,21031,101143,39.950751N,116.341803E,55,0,0,
34,T,21031,101144,39.950753N,116.341803E,55,0,0,
35,T,21031,101145,39.950753N,116.341803E,55,0,0,
36,T,21031,101146,39.950754N,116.341803E,55,0,0,
37,T,21031,101147,39.950754N,116.341801E,56,0,0,
38,T,21031,101148,39.950756N,116.341801E,56,0,0,
39,T,21031,101149,39.950756N,116.341801E,56,0,0,
40,T,21031,101150,39.950758N,116.341801E,56,0,0,
41,T,21031,101151,39.950758N,116.341801E,56,0,0,
42,T,21031,101152,39.950760N,116.341801E,56,0,0,
43,T,21031,101153,39.950760N,116.341801E,56,0,0,
44,T,21031,101154,39.950760N,116.341800E,56,0,0,
45,T,21031,101155,39.950761N,116.341800E,57,0,0,
46,T,21031,101156,39.950761N,116.341800E,57,0,0,
47,T,21031,101157,39.950761N,116.341800E,57,0,0,
48,T,21031,101158,39.950763N,116.341800E,57,0,0,
49,T,21031,101159,39.950763N,116.341800E,57,0,0,
50,T,21031,101200,39.950763N,116.341800E,57,0,0,
51,T,21031,101201,39.950763N,116.341800E,57,0,0,
52,T,21031,101202,39.950764N,116.341800E,57,0,0,
53,T,21031,101203,39.950764N,116.341800E,57,0,0,
54,T,21031,101204,39.950764N,116.341801E,57,0,0,
55,T,21031,101205,39.950768N,116.341804E,58,0,0,
56,T,21031,101206,39.950768N,116.341804E,58,0,0,
57,T,21031,101207,39.950769N,116.341810E,58,0,0,
58,T,21031,101208,39.950771N,116.341815E,58,0,0,
59,T,21031,101209,39.950773N,116.341821E,58,0,0,
60,T,21031,101210,39.950776N,116.341828E,58,0,0,
61,T,21031,101211,39.950778N,116.341833E,58,0,0,
62,T,21031,101212,39.950778N,116.341835E,58,0,0,
63,T,21031,101213,39.950778N,116.341835E,58,0,0,
64,T,21031,101214,39.950778N,116.341835E,58,0,0,
65,T,21031,101215,39.950784N,116.341839E,58,0,0,
66,T,21031,101216,39.950793N,116.341843E,58,0,0,
67,T,21031,101217,39.950793N,116.341843E,59,0,0,
68,T,21031,101218,39.950818N,116.341845E,59,42,0,
69,T,21031,101219,39.950939N,116.341853E,59,50,0,
70,T,21031,101220,39.950961N,116.341838E,59,56,0,
71,T,21031,101221,39.950993N,116.341806E,59,66,0,
72,T,21031,101222,39.951016N,116.341793E,59,66,0,
73,T,21031,101223,39.951038N,116.341781E,59,67,0,
74,T,21031,101224,39.951053N,116.341770E,59,67,0,
75,T,21031,101225,39.951069N,116.341748E,59,68,0,
76,T,21031,101226,39.951086N,116.341733E,59,67,0,
77,T,21031,101227,39.951106N,116.341723E,59,67,0,
78,T,21031,101228,39.951141N,116.341723E,59,67,0,
79,T,21031,101229,39.951168N,116.341716E,59,68,0,
