INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21031,105054,39.950526N,116.342464E,92,0,0,
2,T,21031,105057,39.950576N,116.342490E,100,45,0,
3,T,21031,105058,39.950576N,116.342488E,100,0,0,
4,T,21031,105059,39.950580N,116.342488E,100,0,0,
5,T,21031,105103,39.950586N,116.342479E,93,0,0,
6,T,21031,105104,39.950589N,116.342478E,91,0,0,
7,T,21031,105105,39.950591N,116.342475E,88,0,0,
8,T,21031,105106,39.950593N,116.342471E,86,0,0,
9,T,21031,105107,39.950596N,116.342470E,86,0,0,
10,T,21031,105108,39.950598N,116.342466E,85,0,0,
11,T,21031,105109,39.950599N,116.342464E,85,0,0,
12,T,21031,105110,39.950601N,116.342461E,85,0,0,
13,T,21031,105111,39.950603N,116.342459E,85,0,0,
14,T,21031,105112,39.950606N,116.342456E,85,0,0,
15,T,21031,105113,39.950608N,116.342455E,85,0,0,
16,T,21031,105114,39.950610N,116.342451E,85,0,0,
17,T,21031,105115,39.950611N,116.342450E,85,0,0,
18,T,21031,105116,39.950613N,116.342446E,84,0,0,
19,T,21031,105117,39.950615N,116.342445E,84,0,0,
20,T,21031,105118,39.950616N,116.342441E,84,0,0,
21,T,21031,105119,39.950618N,116.342440E,84,0,0,
22,T,21031,105120,39.950619N,116.342438E,84,0,0,
23,T,21031,105121,39.950623N,116.342434E,84,0,0,
24,T,21031,105122,39.950625N,116.342431E,84,0,0,
25,T,21031,105123,39.950626N,116.342430E,84,0,0,
26,T,21031,105124,39.950628N,116.342426E,83,0,0,
27,T,21031,105125,39.950629N,116.342425E,83,0,0,
28,T,21031,105126,39.950676N,116.342366E,82,0,0,
29,T,21031,105127,39.950715N,116.342320E,81,0,0,
30,T,21031,105128,39.950754N,116.342260E,79,0,0,
31,T,21031,105129,39.950790N,116.342201E,77,0,0,
32,T,21031,105130,39.950820N,116.342158E,75,0,0,
33,T,21031,105131,39.950844N,116.342121E,75,0,0,
34,T,21031,105132,39.950866N,116.342095E,74,0,0,
35,T,21031,105133,39.950885N,116.342073E,74,0,0,
36,T,21031,105134,39.950901N,116.342054E,74,0,0,
37,T,21031,105135,39.950916N,116.342040E,74,0,0,
38,T,21031,105136,39.950930N,116.342023E,74,0,0,
39,T,21031,105137,39.950936N,116.342016E,73,0,0,
40,T,21031,105138,39.950941N,116.342010E,73,0,0,
41,T,21031,105139,39.950958N,116.341988E,73,0,0,
42,T,21031,105140,39.950971N,116.341968E,73,0,0,
43,T,21031,105141,39.950971N,116.341966E,73,0,0,
44,T,21031,105142,39.950973N,116.341966E,72,0,0,
45,T,21031,105145,39.950975N,116.341965E,72,0,0,
46,T,21031,105146,39.950975N,116.341963E,72,0,0,
47,T,21031,105147,39.950975N,116.341963E,72,0,0,
48,T,21031,105148,39.950976N,116.341961E,72,0,0,
49,T,21031,105149,39.950979N,116.341953E,72,0,0,
50,T,21031,105150,39.950984N,116.341943E,71,0,0,
51,T,21031,105151,39.950994N,116.341921E,71,0,0,
52,T,21031,105152,39.951001N,116.341913E,71,0,0,
53,T,21031,105153,39.951006N,116.341906E,71,0,0,
54,T,21031,105154,39.951013N,116.341901E,71,0,0,
55,T,21031,105155,39.951021N,116.341894E,71,0,0,
56,T,21031,105156,39.951029N,116.341893E,71,0,0,
57,T,21031,105157,39.951038N,116.341891E,71,0,0,
58,T,21031,105158,39.951046N,116.341890E,71,0,0,
59,T,21031,105159,39.951056N,116.341890E,71,0,0,
60,T,21031,105200,39.951065N,116.341891E,71,0,0,
61,T,21031,105201,39.951083N,116.341891E,71,0,0,
62,T,21031,105202,39.951091N,116.341891E,71,37,0,
63,T,21031,105203,39.951099N,116.341890E,71,38,0,
64,T,21031,105204,39.951108N,116.341890E,71,37,0,
65,T,21031,105205,39.951130N,116.341881E,71,36,0,
66,T,21031,105206,39.951146N,116.341869E,70,49,0,
67,T,21031,105207,39.951163N,116.341855E,70,0,0,
68,T,21031,105208,39.951181N,116.341836E,70,0,0,
69,T,21031,105209,39.951200N,116.341819E,70,50,0,
70,T,21031,105210,39.951218N,116.341804E,70,45,0,
71,T,21031,105211,39.951294N,116.341736E,70,51,0,
72,T,21031,105212,39.951296N,116.341735E,70,40,0,
73,T,21031,105213,39.951296N,116.341735E,70,0,0,
74,T,21031,105214,39.951299N,116.341735E,70,0,0,
75,T,21031,105215,39.951301N,116.341735E,69,0,0,
76,T,21031,105216,39.951305N,116.341735E,69,0,0,
77,T,21031,105217,39.951308N,116.341733E,69,0,0,
78,T,21031,105218,39.951311N,116.341731E,69,0,0,
79,T,21031,105219,39.951314N,116.341731E,69,0,0,
80,T,21031,105220,39.951318N,116.341729E,69,0,0,
81,T,21031,105221,39.951323N,116.341729E,69,0,0,
82,T,21031,105222,39.951328N,116.341728E,69,0,0,
83,T,21031,105223,39.951336N,116.341723E,68,45,0,
84,T,21031,105224,39.951343N,116.341720E,68,45,0,
85,T,21031,105225,39.951351N,116.341716E,68,0,0,
86,T,21031,105226,39.951358N,116.341713E,68,0,0,
87,T,21031,105227,39.951365N,116.341710E,68,0,0,
88,T,21031,105228,39.951373N,116.341708E,68,38,0,
89,T,21031,105229,39.951380N,116.341705E,68,0,0,
90,T,21031,105230,39.951388N,116.341700E,68,0,0,
91,T,21031,105231,39.951403N,116.341686E,68,36,0,
92,T,21031,105232,39.951411N,116.341680E,68,36,0,
93,T,21031,105233,39.951426N,116.341663E,68,37,0,
94,T,21031,105234,39.951433N,116.341656E,68,41,0,
95,T,21031,105235,39.951451N,116.341641E,68,50,0,
96,T,21031,105236,39.951476N,116.341624E,68,49,0,
97,T,21031,105237,39.951498N,116.341611E,68,0,0,
98,T,21031,105238,39.951516N,116.341598E,68,0,0,
99,T,21031,105239,39.951516N,116.341598E,68,0,0,
100,T,21031,105240,39.951533N,116.341586E,68,0,0,
101,T,21031,105241,39.951539N,116.341583E,68,0,0,
102,T,21031,105242,39.951546N,116.341578E,68,0,0,
103,T,21031,105243,39.951554N,116.341575E,68,0,0,
104,T,21031,105244,39.951561N,116.341571E,68,0,0,
105,T,21031,105245,39.951569N,116.341568E,68,0,0,
106,T,21031,105246,39.951576N,116.341564E,68,0,0,
107,T,21031,105247,39.951576N,116.341563E,68,0,0,
108,T,21031,105248,39.951578N,116.341563E,68,0,0,
109,T,21031,105249,39.951578N,116.341563E,68,0,0,
110,T,21031,105250,39.951580N,116.341561E,68,0,0,
111,T,21031,105251,39.951580N,116.341561E,68,0,0,
112,T,21031,105252,39.951581N,116.341559E,68,0,0,
113,T,21031,105253,39.951581N,116.341559E,68,0,0,
114,T,21031,105254,39.951583N,116.341558E,68,0,0,
115,T,21031,105255,39.951584N,116.341558E,68,0,0,
116,T,21031,105256,39.951584N,116.341556E,68,0,0,
117,T,21031,105257,39.951614N,116.341538E,68,0,0,
118,T,21031,105258,39.951651N,116.341520E,68,0,0,
119,T,21031,105259,39.951683N,116.341508E,68,0,0,
120,T,21031,105300,39.951710N,116.341498E,69,0,0,
121,T,21031,105301,39.951733N,116.341488E,69,0,0,
122,T,21031,105302,39.951751N,116.341481E,69,0,0,
123,T,21031,105303,39.951770N,116.341476E,69,0,0,
124,T,21031,105304,39.951778N,116.341473E,69,0,0,
125,T,21031,105305,39.951796N,116.341471E,69,0,0,
126,T,21031,105306,39.951805N,116.341469E,69,0,0,
127,T,21031,105307,39.951823N,116.341465E,69,0,0,
128,T,21031,105308,39.951831N,116.341461E,69,0,0,
129,T,21031,105309,39.951838N,116.341460E,69,0,0,
130,T,21031,105310,39.951839N,116.341460E,69,0,0,
131,T,21031,105311,39.951839N,116.341460E,69,0,0,
132,T,21031,105312,39.951848N,116.341456E,69,0,0,
133,T,21031,105313,39.951848N,116.341456E,69,0,0,
134,T,21031,105314,39.951850N,116.341456E,69,0,0,
135,T,21031,105315,39.951850N,116.341456E,69,0,0,
136,T,21031,105316,39.951851N,116.341456E,69,0,0,
137,T,21031,105317,39.951851N,116.341454E,69,0,0,
138,T,21031,105318,39.951878N,116.341449E,69,0,0,
139,T,21031,105319,39.951880N,116.341449E,69,0,0,
140,T,21031,105320,39.951909N,116.341443E,70,0,0,
