INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21031,94331,39.951074N,116.341705E,46,0,0,
2,T,21031,94333,39.951059N,116.341610E,51,0,0,
3,T,21031,94334,39.951059N,116.341610E,51,0,0,
4,T,21031,94335,39.951059N,116.341610E,51,0,0,
5,T,21031,94339,39.951059N,116.341611E,51,0,0,
6,T,21031,94340,39.951059N,116.341613E,51,0,0,
7,T,21031,94341,39.951059N,116.341613E,51,0,0,
8,T,21031,94342,39.951059N,116.341615E,51,0,0,
9,T,21031,94343,39.951059N,116.341616E,51,0,0,
10,T,21031,94344,39.951059N,116.341616E,51,0,0,
11,T,21031,94345,39.951059N,116.341618E,51,0,0,
12,T,21031,94346,39.951059N,116.341618E,51,0,0,
13,T,21031,94347,39.951059N,116.341620E,51,0,0,
14,T,21031,94348,39.951059N,116.341620E,51,0,0,
15,T,21031,94349,39.951059N,116.341621E,51,0,0,
16,T,21031,94350,39.951059N,116.341621E,51,0,0,
17,T,21031,94351,39.951059N,116.341623E,51,0,0,
18,T,21031,94352,39.951058N,116.341623E,51,0,0,
19,T,21031,94353,39.951058N,116.341624E,51,0,0,
20,T,21031,94354,39.951058N,116.341624E,51,0,0,
21,T,21031,94355,39.951058N,116.341626E,51,0,0,
22,T,21031,94356,39.951058N,116.341626E,51,0,0,
23,T,21031,94357,39.951056N,116.341628E,51,0,0,
24,T,21031,94358,39.951056N,116.341628E,51,0,0,
25,T,21031,94359,39.951056N,116.341629E,51,0,0,
26,T,21031,94400,39.951056N,116.341629E,51,0,0,
27,T,21031,94401,39.951056N,116.341629E,51,0,0,
28,T,21031,94402,39.951056N,116.341631E,51,0,0,
29,T,21031,94403,39.951054N,116.341631E,51,0,0,
30,T,21031,94404,39.951054N,116.341631E,51,0,0,
31,T,21031,94405,39.951054N,116.341631E,51,0,0,
32,T,21031,94406,39.951054N,116.341633E,51,0,0,
33,T,21031,94407,39.951054N,116.341633E,51,0,0,
34,T,21031,94408,39.951054N,116.341633E,51,0,0,
35,T,21031,94409,39.951054N,116.341633E,51,0,0,
36,T,21031,94410,39.951054N,116.341633E,51,0,0,
37,T,21031,94413,39.951053N,116.341635E,51,0,0,
38,T,21031,94414,39.951053N,116.341635E,51,0,0,
39,T,21031,94415,39.951053N,116.341635E,51,0,0,
40,T,21031,94416,39.951053N,116.341636E,51,0,0,
41,T,21031,94417,39.951053N,116.341636E,51,0,0,
42,T,21031,94418,39.951053N,116.341636E,50,0,0,
43,T,21031,94419,39.951053N,116.341636E,50,0,0,
44,T,21031,94420,39.951051N,116.341636E,50,0,0,
45,T,21031,94421,39.951051N,116.341638E,50,0,0,
46,T,21031,94422,39.951051N,116.341638E,50,0,0,
47,T,21031,94423,39.951051N,116.341638E,50,0,0,
48,T,21031,94424,39.951051N,116.341638E,50,0,0,
49,T,21031,94425,39.951051N,116.341638E,50,0,0,
50,T,21031,94426,39.951051N,116.341638E,50,0,0,
51,T,21031,94427,39.951051N,116.341639E,50,0,0,
52,T,21031,94428,39.951051N,116.341639E,50,0,0,
53,T,21031,94429,39.951051N,116.341639E,50,0,0,
54,T,21031,94430,39.951050N,116.341639E,50,0,0,
55,T,21031,94431,39.951050N,116.341639E,50,0,0,
56,T,21031,94432,39.951050N,116.341639E,50,0,0,
57,T,21031,94433,39.951050N,116.341639E,50,0,0,
58,T,21031,94434,39.951050N,116.341639E,50,0,0,
59,T,21031,94435,39.951050N,116.341641E,50,0,0,
60,T,21031,94436,39.951050N,116.341641E,50,0,0,
61,T,21031,94437,39.951050N,116.341641E,50,0,0,
62,T,21031,94438,39.951050N,116.341641E,50,0,0,
63,T,21031,94439,39.951050N,116.341641E,50,0,0,
64,T,21031,94440,39.951050N,116.341641E,50,0,0,
65,T,21031,94441,39.951048N,116.341641E,50,0,0,
66,T,21031,94442,39.951048N,116.341641E,50,0,0,
67,T,21031,94443,39.951048N,116.341643E,50,0,0,
68,T,21031,94444,39.951048N,116.341643E,50,0,0,
69,T,21031,94445,39.951048N,116.341643E,50,0,0,
70,T,21031,94446,39.951048N,116.341643E,50,0,0,
71,T,21031,94447,39.951048N,116.341643E,50,0,0,
72,T,21031,94448,39.951048N,116.341643E,50,0,0,
73,T,21031,94449,39.951048N,116.341643E,50,0,0,
74,T,21031,94450,39.951048N,116.341643E,50,0,0,
