INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21031,235133,39.950086N,116.340716E,0,0,0,
2,T,21031,235135,39.950216N,116.340935E,0,0,0,
3,T,21031,235136,39.950216N,116.340936E,0,0,0,
4,T,21031,235137,39.950216N,116.340936E,0,0,0,
5,T,21031,235142,39.950226N,116.340949E,0,0,0,
6,T,21031,235143,39.950229N,116.340953E,0,0,0,
7,T,21031,235144,39.950231N,116.340956E,0,0,0,
8,T,21031,235145,39.950235N,116.340961E,0,0,0,
9,T,21031,235146,39.950238N,116.340966E,0,0,0,
10,T,21031,235147,39.950241N,116.340970E,0,0,0,
11,T,21031,235148,39.950244N,116.340975E,0,0,0,
12,T,21031,235149,39.950246N,116.340980E,0,0,0,
13,T,21031,235150,39.950250N,116.340985E,0,0,0,
14,T,21031,235151,39.950253N,116.340989E,0,0,0,
15,T,21031,235152,39.950316N,116.341085E,0,0,0,
16,T,21031,235153,39.950370N,116.341161E,0,0,0,
17,T,21031,235154,39.950371N,116.341164E,0,0,0,
18,T,21031,235155,39.950373N,116.341168E,0,0,0,
19,T,21031,235156,39.950374N,116.341171E,0,0,0,
20,T,21031,235157,39.950378N,116.341175E,0,0,0,
21,T,21031,235158,39.950379N,116.341178E,0,0,0,
22,T,21031,235159,39.950381N,116.341181E,0,0,0,
23,T,21031,235200,39.950383N,116.341185E,0,0,0,
24,T,21031,235201,39.950385N,116.341188E,0,0,0,
25,T,21031,235202,39.950386N,116.341191E,0,0,0,
26,T,21031,235203,39.950388N,116.341195E,0,0,0,
27,T,21031,235204,39.950390N,116.341198E,0,0,0,
28,T,21031,235209,39.950563N,116.341551E,0,0,0,
29,T,21031,235210,39.950563N,116.341553E,0,0,0,
30,T,21031,235211,39.950563N,116.341553E,0,0,0,
31,T,21031,235212,39.950563N,116.341553E,0,0,0,
32,T,21031,235213,39.950563N,116.341553E,0,0,0,
33,T,21031,235214,39.950563N,116.341553E,0,0,0,
34,T,21031,235259,39.951168N,116.341683E,2,0,0,
35,T,21031,235300,39.951233N,116.341655E,4,42,0,
36,T,21031,235301,39.951288N,116.341635E,8,46,0,
37,T,21031,235302,39.951328N,116.341606E,13,53,0,
38,T,21031,235303,39.951293N,116.341604E,19,58,0,
39,T,21031,235304,39.951323N,116.341604E,22,67,0,
40,T,21031,235305,39.951358N,116.341616E,25,72,0,
41,T,21031,235306,39.951406N,116.341643E,25,72,0,
42,T,21031,235307,39.951453N,116.341648E,25,75,0,
43,T,21031,235308,39.951485N,116.341649E,24,78,0,
44,T,21031,235309,39.951515N,116.341656E,22,80,0,
45,T,21031,235310,39.951551N,116.341665E,21,84,0,
46,T,21031,235311,39.951583N,116.341663E,19,85,0,
47,T,21031,235312,39.951621N,116.341663E,18,90,0,
48,T,21031,235313,39.951659N,116.341658E,16,94,0,
49,T,21031,235314,39.951698N,116.341655E,15,97,0,
50,T,21031,235315,39.951740N,116.341649E,14,102,343,
51,T,21031,235316,39.951781N,116.341653E,13,101,343,
52,T,21031,235317,39.951824N,116.341661E,12,103,344,
53,T,21031,235324,39.952066N,116.341658E,12,0,344,
54,T,21031,235331,39.952384N,116.341610E,12,7,344,
55,T,21031,235404,39.953543N,116.341403E,12,0,344,
56,T,21031,235405,39.953601N,116.341401E,12,69,344,
57,T,21031,235406,39.953640N,116.341396E,11,81,344,
58,T,21031,235412,39.953884N,116.341308E,12,119,353,
59,T,21031,235413,39.953948N,116.341333E,12,119,352,
60,T,21031,235414,39.953978N,116.341330E,12,121,354,
61,T,21031,235417,39.954095N,116.341305E,12,145,356,
62,T,21031,235418,39.954109N,116.341269E,11,141,356,
63,T,21031,235419,39.954156N,116.341263E,11,141,355,
64,T,21031,235420,39.954191N,116.341251E,11,140,355,
65,T,21031,235425,39.954361N,116.341208E,11,0,355,
66,T,21031,235426,39.954399N,116.341209E,11,132,355,
67,T,21031,235427,39.954436N,116.341203E,11,132,355,
68,T,21031,235429,39.954506N,116.341138E,11,1,355,
69,T,21031,235432,39.954610N,116.341101E,11,0,352,
70,T,21031,235442,39.954911N,116.340928E,11,6,352,
71,T,21031,235443,39.954928N,116.340913E,11,95,352,
72,T,21031,235444,39.954971N,116.340906E,11,93,352,
73,T,21031,235445,39.955016N,116.340893E,11,107,341,
74,T,21031,235446,39.955063N,116.340866E,11,114,341,
75,T,21031,235447,39.955101N,116.340848E,11,120,340,
76,T,21031,235448,39.955133N,116.340826E,11,121,340,
77,T,21031,235449,39.955170N,116.340803E,11,125,339,
78,T,21031,235450,39.955196N,116.340785E,11,122,340,
79,T,21031,235451,39.955238N,116.340781E,11,123,341,
80,T,21031,235452,39.955264N,116.340766E,11,122,341,
81,T,21031,235453,39.955294N,116.340746E,11,122,341,
82,T,21031,235454,39.955328N,116.340745E,11,115,345,
83,T,21031,235455,39.955361N,116.340751E,11,109,350,
84,T,21031,235456,39.955383N,116.340749E,11,98,350,
