INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21101,3118,39.951029N,116.341469E,62,37,0,
2,T,21101,3120,39.951028N,116.341475E,63,72,0,
3,T,21101,3121,39.951028N,116.341475E,66,0,0,
4,T,21101,3122,39.951028N,116.341475E,70,0,0,
5,T,21101,3126,39.951033N,116.341485E,76,0,0,
6,T,21101,3127,39.951036N,116.341491E,77,0,0,
7,T,21101,3128,39.951038N,116.341496E,77,0,0,
8,T,21101,3129,39.951040N,116.341505E,77,0,0,
9,T,21101,3130,39.951043N,116.341511E,77,0,0,
10,T,21101,3131,39.951044N,116.341520E,77,0,0,
11,T,21101,3132,39.951044N,116.341521E,77,0,0,
12,T,21101,3133,39.951044N,116.341521E,78,0,0,
13,T,21101,3134,39.951044N,116.341521E,79,0,0,
14,T,21101,3135,39.951044N,116.341521E,79,0,0,
15,T,21101,3136,39.951044N,116.341521E,79,0,0,
16,T,21101,3137,39.951044N,116.341521E,79,0,0,
17,T,21101,3138,39.951044N,116.341521E,79,0,0,
18,T,21101,3139,39.951044N,116.341521E,79,0,0,
19,T,21101,3140,39.951044N,116.341526E,79,0,0,
20,T,21101,3141,39.951043N,116.341533E,79,0,0,
21,T,21101,3142,39.951043N,116.341539E,80,0,0,
22,T,21101,3143,39.951041N,116.341548E,80,0,0,
23,T,21101,3144,39.951041N,116.341555E,80,0,0,
24,T,21101,3145,39.951040N,116.341561E,80,0,0,
25,T,21101,3146,39.951038N,116.341566E,80,0,0,
26,T,21101,3147,39.951036N,116.341570E,80,0,0,
27,T,21101,3148,39.951033N,116.341575E,80,0,0,
28,T,21101,3149,39.951026N,116.341571E,80,0,0,
29,T,21101,3150,39.951026N,116.341571E,80,0,0,
30,T,21101,3151,39.951026N,116.341571E,82,0,0,
31,T,21101,3152,39.951026N,116.341571E,82,0,0,
32,T,21101,3153,39.951026N,116.341571E,82,0,0,
33,T,21101,3154,39.951026N,116.341571E,82,0,0,
34,T,21101,3155,39.951024N,116.341571E,82,0,0,
35,T,21101,3156,39.951024N,116.341571E,82,0,0,
36,T,21101,3157,39.951024N,116.341571E,82,0,0,
37,T,21101,3158,39.951024N,116.341571E,82,0,0,
38,T,21101,3159,39.951024N,116.341571E,83,0,0,
39,T,21101,3200,39.951024N,116.341571E,83,0,0,
40,T,21101,3201,39.951023N,116.341571E,83,0,0,
41,T,21101,3202,39.951023N,116.341571E,83,0,0,
42,T,21101,3203,39.951023N,116.341571E,83,0,0,
43,T,21101,3204,39.951023N,116.341571E,83,0,0,
44,T,21101,3205,39.951023N,116.341571E,83,0,0,
45,T,21101,3206,39.951023N,116.341573E,83,0,0,
46,T,21101,3207,39.951023N,116.341573E,83,0,0,
47,T,21101,3208,39.951023N,116.341573E,83,0,0,
48,T,21101,3209,39.951023N,116.341573E,83,0,0,
49,T,21101,3210,39.951023N,116.341575E,83,0,0,
50,T,21101,3211,39.951023N,116.341575E,83,0,0,
51,T,21101,3212,39.951023N,116.341576E,83,0,0,
52,T,21101,3213,39.951023N,116.341576E,83,0,0,
53,T,21101,3214,39.951023N,116.341578E,83,0,0,
54,T,21101,3215,39.951023N,116.341579E,83,0,0,
55,T,21101,3216,39.951023N,116.341579E,83,0,0,
56,T,21101,3217,39.951023N,116.341581E,83,0,0,
57,T,21101,3218,39.951021N,116.341581E,82,0,0,
58,T,21101,3219,39.951021N,116.341583E,82,0,0,
59,T,21101,3220,39.951023N,116.341606E,82,0,0,
