TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 51
Start Date:,06/12/2022
Start Time:,01:03:35
Duration (dd:hh:mm:ss):,00:00:18:00
Log Interval (mm:ss):,00:01
Number of points:,1080
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.073
,Minimum:,0.056
,Time of Minimum:,01:19:36
,Date of Minimum:,06/12/2022
,Maximum:,0.099
,Time of Maximum:,01:10:16
,Date of Maximum:,06/12/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/12/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/12/2022,13:03:36,0.074
06/12/2022,13:03:37,0.070
06/12/2022,13:03:38,0.076
06/12/2022,13:03:39,0.074
06/12/2022,13:03:40,0.076
06/12/2022,13:03:41,0.074
06/12/2022,13:03:42,0.061
06/12/2022,13:03:43,0.071
06/12/2022,13:03:44,0.073
06/12/2022,13:03:45,0.065
06/12/2022,13:03:46,0.077
06/12/2022,13:03:47,0.068
06/12/2022,13:03:48,0.075
06/12/2022,13:03:49,0.076
06/12/2022,13:03:50,0.073
06/12/2022,13:03:51,0.087
06/12/2022,13:03:52,0.072
06/12/2022,13:03:53,0.067
06/12/2022,13:03:54,0.071
06/12/2022,13:03:55,0.068
06/12/2022,13:03:56,0.067
06/12/2022,13:03:57,0.081
06/12/2022,13:03:58,0.069
06/12/2022,13:03:59,0.070
06/12/2022,13:04:00,0.065
06/12/2022,13:04:01,0.077
06/12/2022,13:04:02,0.080
06/12/2022,13:04:03,0.072
06/12/2022,13:04:04,0.076
06/12/2022,13:04:05,0.071
06/12/2022,13:04:06,0.073
06/12/2022,13:04:07,0.072
06/12/2022,13:04:08,0.072
06/12/2022,13:04:09,0.071
06/12/2022,13:04:10,0.065
06/12/2022,13:04:11,0.072
06/12/2022,13:04:12,0.062
06/12/2022,13:04:13,0.081
06/12/2022,13:04:14,0.075
06/12/2022,13:04:15,0.078
06/12/2022,13:04:16,0.069
06/12/2022,13:04:17,0.078
06/12/2022,13:04:18,0.071
06/12/2022,13:04:19,0.072
06/12/2022,13:04:20,0.066
06/12/2022,13:04:21,0.080
06/12/2022,13:04:22,0.067
06/12/2022,13:04:23,0.080
06/12/2022,13:04:24,0.087
06/12/2022,13:04:25,0.076
06/12/2022,13:04:26,0.067
06/12/2022,13:04:27,0.076
06/12/2022,13:04:28,0.069
06/12/2022,13:04:29,0.067
06/12/2022,13:04:30,0.077
06/12/2022,13:04:31,0.075
06/12/2022,13:04:32,0.065
06/12/2022,13:04:33,0.069
06/12/2022,13:04:34,0.071
06/12/2022,13:04:35,0.078
06/12/2022,13:04:36,0.073
06/12/2022,13:04:37,0.073
06/12/2022,13:04:38,0.069
06/12/2022,13:04:39,0.077
06/12/2022,13:04:40,0.077
06/12/2022,13:04:41,0.086
06/12/2022,13:04:42,0.076
06/12/2022,13:04:43,0.073
06/12/2022,13:04:44,0.073
06/12/2022,13:04:45,0.068
06/12/2022,13:04:46,0.079
06/12/2022,13:04:47,0.075
06/12/2022,13:04:48,0.079
06/12/2022,13:04:49,0.067
06/12/2022,13:04:50,0.084
06/12/2022,13:04:51,0.080
06/12/2022,13:04:52,0.079
06/12/2022,13:04:53,0.080
06/12/2022,13:04:54,0.087
06/12/2022,13:04:55,0.081
06/12/2022,13:04:56,0.083
06/12/2022,13:04:57,0.077
06/12/2022,13:04:58,0.079
06/12/2022,13:04:59,0.073
06/12/2022,13:05:00,0.071
06/12/2022,13:05:01,0.073
06/12/2022,13:05:02,0.068
06/12/2022,13:05:03,0.066
06/12/2022,13:05:04,0.080
06/12/2022,13:05:05,0.072
06/12/2022,13:05:06,0.066
06/12/2022,13:05:07,0.073
06/12/2022,13:05:08,0.073
06/12/2022,13:05:09,0.075
06/12/2022,13:05:10,0.078
06/12/2022,13:05:11,0.072
06/12/2022,13:05:12,0.075
06/12/2022,13:05:13,0.077
06/12/2022,13:05:14,0.067
06/12/2022,13:05:15,0.073
06/12/2022,13:05:16,0.080
06/12/2022,13:05:17,0.066
06/12/2022,13:05:18,0.068
06/12/2022,13:05:19,0.076
06/12/2022,13:05:20,0.078
06/12/2022,13:05:21,0.064
06/12/2022,13:05:22,0.075
06/12/2022,13:05:23,0.072
06/12/2022,13:05:24,0.077
06/12/2022,13:05:25,0.073
06/12/2022,13:05:26,0.086
06/12/2022,13:05:27,0.071
06/12/2022,13:05:28,0.069
06/12/2022,13:05:29,0.067
06/12/2022,13:05:30,0.080
06/12/2022,13:05:31,0.070
06/12/2022,13:05:32,0.070
06/12/2022,13:05:33,0.067
06/12/2022,13:05:34,0.076
06/12/2022,13:05:35,0.062
06/12/2022,13:05:36,0.075
06/12/2022,13:05:37,0.069
06/12/2022,13:05:38,0.071
06/12/2022,13:05:39,0.062
06/12/2022,13:05:40,0.069
06/12/2022,13:05:41,0.083
06/12/2022,13:05:42,0.074
06/12/2022,13:05:43,0.070
06/12/2022,13:05:44,0.076
06/12/2022,13:05:45,0.072
06/12/2022,13:05:46,0.069
06/12/2022,13:05:47,0.068
06/12/2022,13:05:48,0.079
06/12/2022,13:05:49,0.072
06/12/2022,13:05:50,0.080
06/12/2022,13:05:51,0.069
06/12/2022,13:05:52,0.071
06/12/2022,13:05:53,0.071
06/12/2022,13:05:54,0.074
06/12/2022,13:05:55,0.077
06/12/2022,13:05:56,0.068
06/12/2022,13:05:57,0.069
06/12/2022,13:05:58,0.081
06/12/2022,13:05:59,0.074
06/12/2022,13:06:00,0.069
06/12/2022,13:06:01,0.076
06/12/2022,13:06:02,0.076
06/12/2022,13:06:03,0.077
06/12/2022,13:06:04,0.068
06/12/2022,13:06:05,0.070
06/12/2022,13:06:06,0.072
06/12/2022,13:06:07,0.079
06/12/2022,13:06:08,0.072
06/12/2022,13:06:09,0.074
06/12/2022,13:06:10,0.081
06/12/2022,13:06:11,0.067
06/12/2022,13:06:12,0.075
06/12/2022,13:06:13,0.066
06/12/2022,13:06:14,0.069
06/12/2022,13:06:15,0.080
06/12/2022,13:06:16,0.073
06/12/2022,13:06:17,0.069
06/12/2022,13:06:18,0.074
06/12/2022,13:06:19,0.073
06/12/2022,13:06:20,0.075
06/12/2022,13:06:21,0.073
06/12/2022,13:06:22,0.071
06/12/2022,13:06:23,0.073
06/12/2022,13:06:24,0.083
06/12/2022,13:06:25,0.088
06/12/2022,13:06:26,0.069
06/12/2022,13:06:27,0.071
06/12/2022,13:06:28,0.085
06/12/2022,13:06:29,0.076
06/12/2022,13:06:30,0.083
06/12/2022,13:06:31,0.074
06/12/2022,13:06:32,0.076
06/12/2022,13:06:33,0.073
06/12/2022,13:06:34,0.070
06/12/2022,13:06:35,0.068
06/12/2022,13:06:36,0.072
06/12/2022,13:06:37,0.065
06/12/2022,13:06:38,0.080
06/12/2022,13:06:39,0.067
06/12/2022,13:06:40,0.071
06/12/2022,13:06:41,0.066
06/12/2022,13:06:42,0.071
06/12/2022,13:06:43,0.077
06/12/2022,13:06:44,0.070
06/12/2022,13:06:45,0.073
06/12/2022,13:06:46,0.074
06/12/2022,13:06:47,0.073
06/12/2022,13:06:48,0.078
06/12/2022,13:06:49,0.077
06/12/2022,13:06:50,0.070
06/12/2022,13:06:51,0.080
06/12/2022,13:06:52,0.069
06/12/2022,13:06:53,0.085
06/12/2022,13:06:54,0.081
06/12/2022,13:06:55,0.067
06/12/2022,13:06:56,0.076
06/12/2022,13:06:57,0.070
06/12/2022,13:06:58,0.087
06/12/2022,13:06:59,0.089
06/12/2022,13:07:00,0.072
06/12/2022,13:07:01,0.070
06/12/2022,13:07:02,0.074
06/12/2022,13:07:03,0.069
06/12/2022,13:07:04,0.077
06/12/2022,13:07:05,0.064
06/12/2022,13:07:06,0.081
06/12/2022,13:07:07,0.075
06/12/2022,13:07:08,0.092
06/12/2022,13:07:09,0.067
06/12/2022,13:07:10,0.076
06/12/2022,13:07:11,0.079
06/12/2022,13:07:12,0.077
06/12/2022,13:07:13,0.080
06/12/2022,13:07:14,0.062
06/12/2022,13:07:15,0.078
06/12/2022,13:07:16,0.069
06/12/2022,13:07:17,0.078
06/12/2022,13:07:18,0.075
06/12/2022,13:07:19,0.076
06/12/2022,13:07:20,0.072
06/12/2022,13:07:21,0.070
06/12/2022,13:07:22,0.075
06/12/2022,13:07:23,0.079
06/12/2022,13:07:24,0.062
06/12/2022,13:07:25,0.081
06/12/2022,13:07:26,0.073
06/12/2022,13:07:27,0.091
06/12/2022,13:07:28,0.068
06/12/2022,13:07:29,0.069
06/12/2022,13:07:30,0.076
06/12/2022,13:07:31,0.069
06/12/2022,13:07:32,0.075
06/12/2022,13:07:33,0.073
06/12/2022,13:07:34,0.074
06/12/2022,13:07:35,0.067
06/12/2022,13:07:36,0.070
06/12/2022,13:07:37,0.068
06/12/2022,13:07:38,0.070
06/12/2022,13:07:39,0.073
06/12/2022,13:07:40,0.076
06/12/2022,13:07:41,0.075
06/12/2022,13:07:42,0.070
