TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 7
Start Date:,06/13/2022
Start Time:,05:33:12
Duration (dd:hh:mm:ss):,00:00:28:07
Log Interval (mm:ss):,00:01
Number of points:,1687
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.046
,Minimum:,0.029
,Time of Minimum:,05:58:28
,Date of Minimum:,06/13/2022
,Maximum:,0.082
,Time of Maximum:,05:36:01
,Date of Maximum:,06/13/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,17:33:13,0.064
06/13/2022,17:33:14,0.067
06/13/2022,17:33:15,0.060
06/13/2022,17:33:16,0.061
06/13/2022,17:33:17,0.057
06/13/2022,17:33:18,0.059
06/13/2022,17:33:19,0.079
06/13/2022,17:33:20,0.062
06/13/2022,17:33:21,0.067
06/13/2022,17:33:22,0.068
06/13/2022,17:33:23,0.070
06/13/2022,17:33:24,0.063
06/13/2022,17:33:25,0.061
06/13/2022,17:33:26,0.075
06/13/2022,17:33:27,0.063
06/13/2022,17:33:28,0.065
06/13/2022,17:33:29,0.063
06/13/2022,17:33:30,0.059
06/13/2022,17:33:31,0.058
06/13/2022,17:33:32,0.060
06/13/2022,17:33:33,0.064
06/13/2022,17:33:34,0.062
06/13/2022,17:33:35,0.064
06/13/2022,17:33:36,0.056
06/13/2022,17:33:37,0.063
06/13/2022,17:33:38,0.062
06/13/2022,17:33:39,0.063
06/13/2022,17:33:40,0.071
06/13/2022,17:33:41,0.063
06/13/2022,17:33:42,0.065
06/13/2022,17:33:43,0.058
06/13/2022,17:33:44,0.063
06/13/2022,17:33:45,0.069
06/13/2022,17:33:46,0.063
06/13/2022,17:33:47,0.055
06/13/2022,17:33:48,0.065
06/13/2022,17:33:49,0.062
06/13/2022,17:33:50,0.064
06/13/2022,17:33:51,0.073
06/13/2022,17:33:52,0.061
06/13/2022,17:33:53,0.065
06/13/2022,17:33:54,0.062
06/13/2022,17:33:55,0.067
06/13/2022,17:33:56,0.061
06/13/2022,17:33:57,0.060
06/13/2022,17:33:58,0.070
06/13/2022,17:33:59,0.061
06/13/2022,17:34:00,0.056
06/13/2022,17:34:01,0.064
06/13/2022,17:34:02,0.056
06/13/2022,17:34:03,0.064
06/13/2022,17:34:04,0.066
06/13/2022,17:34:05,0.065
06/13/2022,17:34:06,0.073
06/13/2022,17:34:07,0.067
06/13/2022,17:34:08,0.068
06/13/2022,17:34:09,0.069
06/13/2022,17:34:10,0.068
06/13/2022,17:34:11,0.057
06/13/2022,17:34:12,0.070
06/13/2022,17:34:13,0.063
06/13/2022,17:34:14,0.065
06/13/2022,17:34:15,0.070
06/13/2022,17:34:16,0.058
06/13/2022,17:34:17,0.059
06/13/2022,17:34:18,0.060
06/13/2022,17:34:19,0.061
06/13/2022,17:34:20,0.063
06/13/2022,17:34:21,0.063
06/13/2022,17:34:22,0.066
06/13/2022,17:34:23,0.061
06/13/2022,17:34:24,0.066
06/13/2022,17:34:25,0.063
06/13/2022,17:34:26,0.072
06/13/2022,17:34:27,0.063
06/13/2022,17:34:28,0.061
06/13/2022,17:34:29,0.067
06/13/2022,17:34:30,0.065
06/13/2022,17:34:31,0.065
06/13/2022,17:34:32,0.059
06/13/2022,17:34:33,0.067
06/13/2022,17:34:34,0.057
06/13/2022,17:34:35,0.060
06/13/2022,17:34:36,0.079
06/13/2022,17:34:37,0.072
06/13/2022,17:34:38,0.068
06/13/2022,17:34:39,0.069
06/13/2022,17:34:40,0.081
06/13/2022,17:34:41,0.060
06/13/2022,17:34:42,0.071
06/13/2022,17:34:43,0.066
06/13/2022,17:34:44,0.064
06/13/2022,17:34:45,0.058
06/13/2022,17:34:46,0.061
06/13/2022,17:34:47,0.070
06/13/2022,17:34:48,0.070
06/13/2022,17:34:49,0.070
06/13/2022,17:34:50,0.065
06/13/2022,17:34:51,0.059
06/13/2022,17:34:52,0.064
06/13/2022,17:34:53,0.059
06/13/2022,17:34:54,0.064
06/13/2022,17:34:55,0.063
06/13/2022,17:34:56,0.062
06/13/2022,17:34:57,0.067
06/13/2022,17:34:58,0.081
06/13/2022,17:34:59,0.068
06/13/2022,17:35:00,0.060
06/13/2022,17:35:01,0.063
06/13/2022,17:35:02,0.063
06/13/2022,17:35:03,0.075
06/13/2022,17:35:04,0.055
06/13/2022,17:35:05,0.065
06/13/2022,17:35:06,0.065
06/13/2022,17:35:07,0.070
06/13/2022,17:35:08,0.059
06/13/2022,17:35:09,0.061
06/13/2022,17:35:10,0.064
06/13/2022,17:35:11,0.060
06/13/2022,17:35:12,0.071
06/13/2022,17:35:13,0.056
06/13/2022,17:35:14,0.068
06/13/2022,17:35:15,0.058
06/13/2022,17:35:16,0.062
06/13/2022,17:35:17,0.059
06/13/2022,17:35:18,0.062
06/13/2022,17:35:19,0.073
06/13/2022,17:35:20,0.060
06/13/2022,17:35:21,0.058
06/13/2022,17:35:22,0.061
06/13/2022,17:35:23,0.055
06/13/2022,17:35:24,0.054
06/13/2022,17:35:25,0.062
06/13/2022,17:35:26,0.074
06/13/2022,17:35:27,0.055
06/13/2022,17:35:28,0.057
06/13/2022,17:35:29,0.058
06/13/2022,17:35:30,0.061
06/13/2022,17:35:31,0.067
06/13/2022,17:35:32,0.061
06/13/2022,17:35:33,0.062
06/13/2022,17:35:34,0.066
06/13/2022,17:35:35,0.060
06/13/2022,17:35:36,0.069
06/13/2022,17:35:37,0.064
06/13/2022,17:35:38,0.065
06/13/2022,17:35:39,0.062
06/13/2022,17:35:40,0.056
06/13/2022,17:35:41,0.073
06/13/2022,17:35:42,0.056
06/13/2022,17:35:43,0.069
06/13/2022,17:35:44,0.066
06/13/2022,17:35:45,0.065
06/13/2022,17:35:46,0.074
06/13/2022,17:35:47,0.069
06/13/2022,17:35:48,0.063
06/13/2022,17:35:49,0.070
06/13/2022,17:35:50,0.062
06/13/2022,17:35:51,0.055
06/13/2022,17:35:52,0.060
06/13/2022,17:35:53,0.055
06/13/2022,17:35:54,0.057
06/13/2022,17:35:55,0.057
06/13/2022,17:35:56,0.072
06/13/2022,17:35:57,0.060
06/13/2022,17:35:58,0.065
06/13/2022,17:35:59,0.065
06/13/2022,17:36:00,0.067
06/13/2022,17:36:01,0.082
06/13/2022,17:36:02,0.063
06/13/2022,17:36:03,0.056
06/13/2022,17:36:04,0.068
06/13/2022,17:36:05,0.058
06/13/2022,17:36:06,0.067
06/13/2022,17:36:07,0.059
06/13/2022,17:36:08,0.066
06/13/2022,17:36:09,0.059
06/13/2022,17:36:10,0.062
06/13/2022,17:36:11,0.063
06/13/2022,17:36:12,0.060
06/13/2022,17:36:13,0.057
06/13/2022,17:36:14,0.056
06/13/2022,17:36:15,0.061
06/13/2022,17:36:16,0.060
06/13/2022,17:36:17,0.058
06/13/2022,17:36:18,0.068
06/13/2022,17:36:19,0.075
06/13/2022,17:36:20,0.054
06/13/2022,17:36:21,0.063
06/13/2022,17:36:22,0.064
06/13/2022,17:36:23,0.062
06/13/2022,17:36:24,0.056
06/13/2022,17:36:25,0.058
06/13/2022,17:36:26,0.065
06/13/2022,17:36:27,0.060
06/13/2022,17:36:28,0.063
06/13/2022,17:36:29,0.073
06/13/2022,17:36:30,0.059
06/13/2022,17:36:31,0.064
06/13/2022,17:36:32,0.058
06/13/2022,17:36:33,0.059
06/13/2022,17:36:34,0.061
06/13/2022,17:36:35,0.058
06/13/2022,17:36:36,0.049
06/13/2022,17:36:37,0.055
06/13/2022,17:36:38,0.054
06/13/2022,17:36:39,0.071
06/13/2022,17:36:40,0.056
06/13/2022,17:36:41,0.057
06/13/2022,17:36:42,0.063
06/13/2022,17:36:43,0.051
06/13/2022,17:36:44,0.054
06/13/2022,17:36:45,0.066
06/13/2022,17:36:46,0.057
06/13/2022,17:36:47,0.059
06/13/2022,17:36:48,0.061
06/13/2022,17:36:49,0.055
06/13/2022,17:36:50,0.060
06/13/2022,17:36:51,0.066
06/13/2022,17:36:52,0.053
06/13/2022,17:36:53,0.065
06/13/2022,17:36:54,0.057
06/13/2022,17:36:55,0.059
06/13/2022,17:36:56,0.058
06/13/2022,17:36:57,0.052
