TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/13/2022
Start Time:,09:04:06
Duration (dd:hh:mm:ss):,00:00:14:57
Log Interval (mm:ss):,00:01
Number of points:,897
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.044
,Time of Minimum:,09:12:01
,Date of Minimum:,06/13/2022
,Maximum:,0.104
,Time of Maximum:,09:17:17
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,09:04:07,0.054
06/13/2022,09:04:08,0.064
06/13/2022,09:04:09,0.068
06/13/2022,09:04:10,0.064
06/13/2022,09:04:11,0.057
06/13/2022,09:04:12,0.058
06/13/2022,09:04:13,0.049
06/13/2022,09:04:14,0.054
06/13/2022,09:04:15,0.053
06/13/2022,09:04:16,0.066
06/13/2022,09:04:17,0.063
06/13/2022,09:04:18,0.058
06/13/2022,09:04:19,0.055
06/13/2022,09:04:20,0.059
06/13/2022,09:04:21,0.054
06/13/2022,09:04:22,0.056
06/13/2022,09:04:23,0.057
06/13/2022,09:04:24,0.055
06/13/2022,09:04:25,0.060
06/13/2022,09:04:26,0.058
06/13/2022,09:04:27,0.058
06/13/2022,09:04:28,0.059
06/13/2022,09:04:29,0.057
06/13/2022,09:04:30,0.056
06/13/2022,09:04:31,0.063
06/13/2022,09:04:32,0.054
06/13/2022,09:04:33,0.059
06/13/2022,09:04:34,0.050
06/13/2022,09:04:35,0.047
06/13/2022,09:04:36,0.062
06/13/2022,09:04:37,0.057
06/13/2022,09:04:38,0.062
06/13/2022,09:04:39,0.059
06/13/2022,09:04:40,0.055
06/13/2022,09:04:41,0.061
06/13/2022,09:04:42,0.054
06/13/2022,09:04:43,0.062
06/13/2022,09:04:44,0.061
06/13/2022,09:04:45,0.056
06/13/2022,09:04:46,0.055
06/13/2022,09:04:47,0.059
06/13/2022,09:04:48,0.056
06/13/2022,09:04:49,0.062
06/13/2022,09:04:50,0.058
06/13/2022,09:04:51,0.052
06/13/2022,09:04:52,0.073
06/13/2022,09:04:53,0.066
06/13/2022,09:04:54,0.051
06/13/2022,09:04:55,0.052
06/13/2022,09:04:56,0.059
06/13/2022,09:04:57,0.055
06/13/2022,09:04:58,0.055
06/13/2022,09:04:59,0.058
06/13/2022,09:05:00,0.053
06/13/2022,09:05:01,0.065
06/13/2022,09:05:02,0.052
06/13/2022,09:05:03,0.065
06/13/2022,09:05:04,0.058
06/13/2022,09:05:05,0.049
06/13/2022,09:05:06,0.053
06/13/2022,09:05:07,0.060
06/13/2022,09:05:08,0.057
06/13/2022,09:05:09,0.060
06/13/2022,09:05:10,0.050
06/13/2022,09:05:11,0.054
06/13/2022,09:05:12,0.051
06/13/2022,09:05:13,0.054
06/13/2022,09:05:14,0.056
06/13/2022,09:05:15,0.063
