TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 56
Start Date:,06/13/2022
Start Time:,07:16:24
Duration (dd:hh:mm:ss):,00:00:09:48
Log Interval (mm:ss):,00:01
Number of points:,588
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.030
,Minimum:,0.020
,Time of Minimum:,07:24:20
,Date of Minimum:,06/13/2022
,Maximum:,0.059
,Time of Maximum:,07:25:52
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,07:16:25,0.033
06/13/2022,07:16:26,0.035
06/13/2022,07:16:27,0.040
06/13/2022,07:16:28,0.037
06/13/2022,07:16:29,0.042
06/13/2022,07:16:30,0.035
06/13/2022,07:16:31,0.033
06/13/2022,07:16:32,0.036
06/13/2022,07:16:33,0.033
06/13/2022,07:16:34,0.039
06/13/2022,07:16:35,0.036
06/13/2022,07:16:36,0.030
06/13/2022,07:16:37,0.031
06/13/2022,07:16:38,0.036
06/13/2022,07:16:39,0.029
06/13/2022,07:16:40,0.043
06/13/2022,07:16:41,0.039
06/13/2022,07:16:42,0.046
06/13/2022,07:16:43,0.034
06/13/2022,07:16:44,0.029
06/13/2022,07:16:45,0.027
06/13/2022,07:16:46,0.034
06/13/2022,07:16:47,0.027
06/13/2022,07:16:48,0.032
06/13/2022,07:16:49,0.032
06/13/2022,07:16:50,0.039
06/13/2022,07:16:51,0.031
06/13/2022,07:16:52,0.037
06/13/2022,07:16:53,0.037
06/13/2022,07:16:54,0.034
06/13/2022,07:16:55,0.034
06/13/2022,07:16:56,0.026
06/13/2022,07:16:57,0.029
06/13/2022,07:16:58,0.031
06/13/2022,07:16:59,0.030
06/13/2022,07:17:00,0.033
06/13/2022,07:17:01,0.027
06/13/2022,07:17:02,0.029
06/13/2022,07:17:03,0.028
06/13/2022,07:17:04,0.036
06/13/2022,07:17:05,0.027
06/13/2022,07:17:06,0.030
06/13/2022,07:17:07,0.029
06/13/2022,07:17:08,0.031
06/13/2022,07:17:09,0.029
06/13/2022,07:17:10,0.038
06/13/2022,07:17:11,0.034
06/13/2022,07:17:12,0.040
06/13/2022,07:17:13,0.033
06/13/2022,07:17:14,0.031
06/13/2022,07:17:15,0.031
06/13/2022,07:17:16,0.037
06/13/2022,07:17:17,0.028
06/13/2022,07:17:18,0.028
06/13/2022,07:17:19,0.031
06/13/2022,07:17:20,0.032
06/13/2022,07:17:21,0.032
06/13/2022,07:17:22,0.031
06/13/2022,07:17:23,0.031
06/13/2022,07:17:24,0.034
06/13/2022,07:17:25,0.036
06/13/2022,07:17:26,0.028
06/13/2022,07:17:27,0.034
06/13/2022,07:17:28,0.028
06/13/2022,07:17:29,0.032
06/13/2022,07:17:30,0.037
06/13/2022,07:17:31,0.032
06/13/2022,07:17:32,0.030
06/13/2022,07:17:33,0.029
06/13/2022,07:17:34,0.038
06/13/2022,07:17:35,0.027
06/13/2022,07:17:36,0.030
06/13/2022,07:17:37,0.033
06/13/2022,07:17:38,0.034
06/13/2022,07:17:39,0.027
06/13/2022,07:17:40,0.031
06/13/2022,07:17:41,0.032
06/13/2022,07:17:42,0.029
06/13/2022,07:17:43,0.036
06/13/2022,07:17:44,0.032
06/13/2022,07:17:45,0.029
06/13/2022,07:17:46,0.030
06/13/2022,07:17:47,0.027
06/13/2022,07:17:48,0.034
06/13/2022,07:17:49,0.029
06/13/2022,07:17:50,0.029
06/13/2022,07:17:51,0.029
06/13/2022,07:17:52,0.029
06/13/2022,07:17:53,0.028
06/13/2022,07:17:54,0.030
06/13/2022,07:17:55,0.029
06/13/2022,07:17:56,0.030
06/13/2022,07:17:57,0.030
06/13/2022,07:17:58,0.029
06/13/2022,07:17:59,0.031
06/13/2022,07:18:00,0.039
06/13/2022,07:18:01,0.029
06/13/2022,07:18:02,0.034
06/13/2022,07:18:03,0.031
06/13/2022,07:18:04,0.032
06/13/2022,07:18:05,0.028
06/13/2022,07:18:06,0.031
06/13/2022,07:18:07,0.031
06/13/2022,07:18:08,0.031
06/13/2022,07:18:09,0.033
06/13/2022,07:18:10,0.026
06/13/2022,07:18:11,0.030
06/13/2022,07:18:12,0.029
06/13/2022,07:18:13,0.033
06/13/2022,07:18:14,0.031
06/13/2022,07:18:15,0.028
06/13/2022,07:18:16,0.033
06/13/2022,07:18:17,0.036
06/13/2022,07:18:18,0.035
06/13/2022,07:18:19,0.031
06/13/2022,07:18:20,0.029
06/13/2022,07:18:21,0.034
06/13/2022,07:18:22,0.031
06/13/2022,07:18:23,0.034
06/13/2022,07:18:24,0.037
06/13/2022,07:18:25,0.031
06/13/2022,07:18:26,0.028
06/13/2022,07:18:27,0.028
06/13/2022,07:18:28,0.031
06/13/2022,07:18:29,0.030
06/13/2022,07:18:30,0.029
06/13/2022,07:18:31,0.030
06/13/2022,07:18:32,0.030
06/13/2022,07:18:33,0.034
06/13/2022,07:18:34,0.028
06/13/2022,07:18:35,0.028
06/13/2022,07:18:36,0.028
06/13/2022,07:18:37,0.028
06/13/2022,07:18:38,0.032
06/13/2022,07:18:39,0.036
06/13/2022,07:18:40,0.032
06/13/2022,07:18:41,0.026
06/13/2022,07:18:42,0.028
06/13/2022,07:18:43,0.028
06/13/2022,07:18:44,0.025
06/13/2022,07:18:45,0.031
06/13/2022,07:18:46,0.028
06/13/2022,07:18:47,0.028
06/13/2022,07:18:48,0.027
06/13/2022,07:18:49,0.030
06/13/2022,07:18:50,0.028
06/13/2022,07:18:51,0.033
06/13/2022,07:18:52,0.031
06/13/2022,07:18:53,0.030
06/13/2022,07:18:54,0.034
06/13/2022,07:18:55,0.027
06/13/2022,07:18:56,0.030
06/13/2022,07:18:57,0.034
06/13/2022,07:18:58,0.027
06/13/2022,07:18:59,0.031
06/13/2022,07:19:00,0.034
06/13/2022,07:19:01,0.023
06/13/2022,07:19:02,0.035
06/13/2022,07:19:03,0.028
06/13/2022,07:19:04,0.036
06/13/2022,07:19:05,0.033
06/13/2022,07:19:06,0.025
06/13/2022,07:19:07,0.030
06/13/2022,07:19:08,0.036
06/13/2022,07:19:09,0.031
06/13/2022,07:19:10,0.027
06/13/2022,07:19:11,0.030
06/13/2022,07:19:12,0.027
06/13/2022,07:19:13,0.032
06/13/2022,07:19:14,0.032
06/13/2022,07:19:15,0.027
06/13/2022,07:19:16,0.028
06/13/2022,07:19:17,0.029
06/13/2022,07:19:18,0.032
06/13/2022,07:19:19,0.024
06/13/2022,07:19:20,0.030
06/13/2022,07:19:21,0.030
06/13/2022,07:19:22,0.050
06/13/2022,07:19:23,0.028
06/13/2022,07:19:24,0.026
06/13/2022,07:19:25,0.034
06/13/2022,07:19:26,0.030
06/13/2022,07:19:27,0.028
06/13/2022,07:19:28,0.029
06/13/2022,07:19:29,0.026
06/13/2022,07:19:30,0.024
06/13/2022,07:19:31,0.030
06/13/2022,07:19:32,0.030
06/13/2022,07:19:33,0.027
06/13/2022,07:19:34,0.035
06/13/2022,07:19:35,0.025
06/13/2022,07:19:36,0.030
06/13/2022,07:19:37,0.044
06/13/2022,07:19:38,0.026
06/13/2022,07:19:39,0.027
06/13/2022,07:19:40,0.030
06/13/2022,07:19:41,0.026
06/13/2022,07:19:42,0.037
06/13/2022,07:19:43,0.027
06/13/2022,07:19:44,0.033
06/13/2022,07:19:45,0.029
06/13/2022,07:19:46,0.027
06/13/2022,07:19:47,0.035
06/13/2022,07:19:48,0.023
06/13/2022,07:19:49,0.026
06/13/2022,07:19:50,0.031
06/13/2022,07:19:51,0.028
06/13/2022,07:19:52,0.026
06/13/2022,07:19:53,0.031
06/13/2022,07:19:54,0.030
06/13/2022,07:19:55,0.025
06/13/2022,07:19:56,0.029
06/13/2022,07:19:57,0.026
06/13/2022,07:19:58,0.039
06/13/2022,07:19:59,0.025
06/13/2022,07:20:00,0.029
06/13/2022,07:20:01,0.031
06/13/2022,07:20:02,0.026
06/13/2022,07:20:03,0.024
06/13/2022,07:20:04,0.028
06/13/2022,07:20:05,0.027
06/13/2022,07:20:06,0.030
06/13/2022,07:20:07,0.028
06/13/2022,07:20:08,0.031
06/13/2022,07:20:09,0.028
06/13/2022,07:20:10,0.025
06/13/2022,07:20:11,0.025
06/13/2022,07:20:12,0.029
06/13/2022,07:20:13,0.036
06/13/2022,07:20:14,0.025
06/13/2022,07:20:15,0.025
06/13/2022,07:20:16,0.031
06/13/2022,07:20:17,0.026
06/13/2022,07:20:18,0.026
06/13/2022,07:20:19,0.027
06/13/2022,07:20:20,0.030
06/13/2022,07:20:21,0.023
06/13/2022,07:20:22,0.024
06/13/2022,07:20:23,0.033
