TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 2
Start Date:,06/13/2022
Start Time:,09:19:51
Duration (dd:hh:mm:ss):,00:00:26:22
Log Interval (mm:ss):,00:01
Number of points:,1582
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.039
,Time of Minimum:,09:39:08
,Date of Minimum:,06/13/2022
,Maximum:,0.108
,Time of Maximum:,09:37:25
,Date of Maximum:,06/13/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,09:19:52,0.056
06/13/2022,09:19:53,0.058
06/13/2022,09:19:54,0.055
06/13/2022,09:19:55,0.055
06/13/2022,09:19:56,0.057
06/13/2022,09:19:57,0.050
06/13/2022,09:19:58,0.054
06/13/2022,09:19:59,0.054
06/13/2022,09:20:00,0.053
06/13/2022,09:20:01,0.059
06/13/2022,09:20:02,0.054
06/13/2022,09:20:03,0.054
06/13/2022,09:20:04,0.050
06/13/2022,09:20:05,0.059
06/13/2022,09:20:06,0.055
06/13/2022,09:20:07,0.059
06/13/2022,09:20:08,0.055
06/13/2022,09:20:09,0.058
06/13/2022,09:20:10,0.052
06/13/2022,09:20:11,0.059
06/13/2022,09:20:12,0.056
06/13/2022,09:20:13,0.058
06/13/2022,09:20:14,0.052
06/13/2022,09:20:15,0.059
06/13/2022,09:20:16,0.048
06/13/2022,09:20:17,0.052
06/13/2022,09:20:18,0.053
06/13/2022,09:20:19,0.048
06/13/2022,09:20:20,0.063
06/13/2022,09:20:21,0.058
06/13/2022,09:20:22,0.052
06/13/2022,09:20:23,0.055
06/13/2022,09:20:24,0.056
06/13/2022,09:20:25,0.053
06/13/2022,09:20:26,0.052
06/13/2022,09:20:27,0.057
06/13/2022,09:20:28,0.066
06/13/2022,09:20:29,0.060
06/13/2022,09:20:30,0.051
06/13/2022,09:20:31,0.052
06/13/2022,09:20:32,0.058
06/13/2022,09:20:33,0.048
06/13/2022,09:20:34,0.051
06/13/2022,09:20:35,0.057
06/13/2022,09:20:36,0.058
06/13/2022,09:20:37,0.060
06/13/2022,09:20:38,0.053
06/13/2022,09:20:39,0.053
06/13/2022,09:20:40,0.052
06/13/2022,09:20:41,0.054
06/13/2022,09:20:42,0.054
06/13/2022,09:20:43,0.052
06/13/2022,09:20:44,0.053
06/13/2022,09:20:45,0.057
06/13/2022,09:20:46,0.058
06/13/2022,09:20:47,0.053
06/13/2022,09:20:48,0.052
06/13/2022,09:20:49,0.064
06/13/2022,09:20:50,0.058
06/13/2022,09:20:51,0.049
06/13/2022,09:20:52,0.056
06/13/2022,09:20:53,0.060
06/13/2022,09:20:54,0.057
06/13/2022,09:20:55,0.059
06/13/2022,09:20:56,0.051
06/13/2022,09:20:57,0.068
06/13/2022,09:20:58,0.059
06/13/2022,09:20:59,0.061
06/13/2022,09:21:00,0.055
06/13/2022,09:21:01,0.055
06/13/2022,09:21:02,0.052
06/13/2022,09:21:03,0.058
06/13/2022,09:21:04,0.063
06/13/2022,09:21:05,0.046
06/13/2022,09:21:06,0.059
06/13/2022,09:21:07,0.061
06/13/2022,09:21:08,0.059
06/13/2022,09:21:09,0.054
06/13/2022,09:21:10,0.061
06/13/2022,09:21:11,0.056
06/13/2022,09:21:12,0.053
06/13/2022,09:21:13,0.064
06/13/2022,09:21:14,0.064
06/13/2022,09:21:15,0.057
06/13/2022,09:21:16,0.052
06/13/2022,09:21:17,0.051
06/13/2022,09:21:18,0.050
06/13/2022,09:21:19,0.050
06/13/2022,09:21:20,0.050
06/13/2022,09:21:21,0.061
06/13/2022,09:21:22,0.067
06/13/2022,09:21:23,0.054
06/13/2022,09:21:24,0.057
06/13/2022,09:21:25,0.060
06/13/2022,09:21:26,0.057
06/13/2022,09:21:27,0.056
06/13/2022,09:21:28,0.055
06/13/2022,09:21:29,0.058
06/13/2022,09:21:30,0.061
06/13/2022,09:21:31,0.056
06/13/2022,09:21:32,0.050
06/13/2022,09:21:33,0.058
06/13/2022,09:21:34,0.050
06/13/2022,09:21:35,0.060
06/13/2022,09:21:36,0.055
06/13/2022,09:21:37,0.052
06/13/2022,09:21:38,0.063
06/13/2022,09:21:39,0.056
06/13/2022,09:21:40,0.052
06/13/2022,09:21:41,0.050
06/13/2022,09:21:42,0.047
06/13/2022,09:21:43,0.067
06/13/2022,09:21:44,0.059
06/13/2022,09:21:45,0.057
06/13/2022,09:21:46,0.054
06/13/2022,09:21:47,0.057
06/13/2022,09:21:48,0.050
06/13/2022,09:21:49,0.050
06/13/2022,09:21:50,0.053
06/13/2022,09:21:51,0.063
06/13/2022,09:21:52,0.054
06/13/2022,09:21:53,0.057
06/13/2022,09:21:54,0.064
06/13/2022,09:21:55,0.050
06/13/2022,09:21:56,0.053
06/13/2022,09:21:57,0.055
06/13/2022,09:21:58,0.058
06/13/2022,09:21:59,0.066
06/13/2022,09:22:00,0.057
06/13/2022,09:22:01,0.062
06/13/2022,09:22:02,0.053
06/13/2022,09:22:03,0.058
06/13/2022,09:22:04,0.061
06/13/2022,09:22:05,0.053
06/13/2022,09:22:06,0.053
06/13/2022,09:22:07,0.055
06/13/2022,09:22:08,0.054
06/13/2022,09:22:09,0.056
06/13/2022,09:22:10,0.062
06/13/2022,09:22:11,0.060
06/13/2022,09:22:12,0.061
06/13/2022,09:22:13,0.056
06/13/2022,09:22:14,0.054
06/13/2022,09:22:15,0.053
06/13/2022,09:22:16,0.054
06/13/2022,09:22:17,0.055
06/13/2022,09:22:18,0.061
06/13/2022,09:22:19,0.063
06/13/2022,09:22:20,0.052
06/13/2022,09:22:21,0.053
06/13/2022,09:22:22,0.057
06/13/2022,09:22:23,0.056
06/13/2022,09:22:24,0.062
06/13/2022,09:22:25,0.052
06/13/2022,09:22:26,0.058
06/13/2022,09:22:27,0.056
06/13/2022,09:22:28,0.054
06/13/2022,09:22:29,0.055
06/13/2022,09:22:30,0.062
06/13/2022,09:22:31,0.054
06/13/2022,09:22:32,0.057
06/13/2022,09:22:33,0.057
06/13/2022,09:22:34,0.050
06/13/2022,09:22:35,0.054
06/13/2022,09:22:36,0.057
06/13/2022,09:22:37,0.056
06/13/2022,09:22:38,0.062
06/13/2022,09:22:39,0.060
06/13/2022,09:22:40,0.051
06/13/2022,09:22:41,0.055
06/13/2022,09:22:42,0.055
06/13/2022,09:22:43,0.050
06/13/2022,09:22:44,0.061
06/13/2022,09:22:45,0.060
