TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 4
Start Date:,06/13/2022
Start Time:,12:15:09
Duration (dd:hh:mm:ss):,00:00:19:18
Log Interval (mm:ss):,00:01
Number of points:,1158
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.052
,Minimum:,0.039
,Time of Minimum:,12:31:17
,Date of Minimum:,06/13/2022
,Maximum:,0.091
,Time of Maximum:,12:28:25
,Date of Maximum:,06/13/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,12:15:10,0.051
06/13/2022,12:15:11,0.058
06/13/2022,12:15:12,0.061
06/13/2022,12:15:13,0.056
06/13/2022,12:15:14,0.055
06/13/2022,12:15:15,0.054
06/13/2022,12:15:16,0.052
06/13/2022,12:15:17,0.050
06/13/2022,12:15:18,0.054
06/13/2022,12:15:19,0.051
06/13/2022,12:15:20,0.048
06/13/2022,12:15:21,0.055
06/13/2022,12:15:22,0.050
06/13/2022,12:15:23,0.069
06/13/2022,12:15:24,0.056
06/13/2022,12:15:25,0.054
06/13/2022,12:15:26,0.067
06/13/2022,12:15:27,0.057
06/13/2022,12:15:28,0.061
06/13/2022,12:15:29,0.057
06/13/2022,12:15:30,0.071
06/13/2022,12:15:31,0.060
06/13/2022,12:15:32,0.072
06/13/2022,12:15:33,0.069
06/13/2022,12:15:34,0.067
06/13/2022,12:15:35,0.065
06/13/2022,12:15:36,0.066
06/13/2022,12:15:37,0.062
06/13/2022,12:15:38,0.057
06/13/2022,12:15:39,0.061
06/13/2022,12:15:40,0.052
06/13/2022,12:15:41,0.053
06/13/2022,12:15:42,0.050
06/13/2022,12:15:43,0.056
06/13/2022,12:15:44,0.061
06/13/2022,12:15:45,0.061
06/13/2022,12:15:46,0.056
06/13/2022,12:15:47,0.049
06/13/2022,12:15:48,0.062
06/13/2022,12:15:49,0.054
06/13/2022,12:15:50,0.056
06/13/2022,12:15:51,0.056
06/13/2022,12:15:52,0.059
06/13/2022,12:15:53,0.052
06/13/2022,12:15:54,0.056
06/13/2022,12:15:55,0.052
06/13/2022,12:15:56,0.054
06/13/2022,12:15:57,0.055
06/13/2022,12:15:58,0.075
06/13/2022,12:15:59,0.053
06/13/2022,12:16:00,0.053
06/13/2022,12:16:01,0.054
06/13/2022,12:16:02,0.059
06/13/2022,12:16:03,0.056
06/13/2022,12:16:04,0.049
06/13/2022,12:16:05,0.050
06/13/2022,12:16:06,0.055
06/13/2022,12:16:07,0.050
06/13/2022,12:16:08,0.051
06/13/2022,12:16:09,0.055
06/13/2022,12:16:10,0.048
06/13/2022,12:16:11,0.052
06/13/2022,12:16:12,0.052
06/13/2022,12:16:13,0.055
06/13/2022,12:16:14,0.056
06/13/2022,12:16:15,0.055
06/13/2022,12:16:16,0.051
06/13/2022,12:16:17,0.061
06/13/2022,12:16:18,0.050
06/13/2022,12:16:19,0.049
06/13/2022,12:16:20,0.052
06/13/2022,12:16:21,0.056
06/13/2022,12:16:22,0.054
06/13/2022,12:16:23,0.054
06/13/2022,12:16:24,0.059
06/13/2022,12:16:25,0.067
06/13/2022,12:16:26,0.055
06/13/2022,12:16:27,0.054
06/13/2022,12:16:28,0.057
06/13/2022,12:16:29,0.056
06/13/2022,12:16:30,0.060
06/13/2022,12:16:31,0.056
06/13/2022,12:16:32,0.057
06/13/2022,12:16:33,0.052
06/13/2022,12:16:34,0.054
06/13/2022,12:16:35,0.062
06/13/2022,12:16:36,0.059
06/13/2022,12:16:37,0.056
06/13/2022,12:16:38,0.053
06/13/2022,12:16:39,0.061
06/13/2022,12:16:40,0.062
06/13/2022,12:16:41,0.060
06/13/2022,12:16:42,0.057
06/13/2022,12:16:43,0.055
06/13/2022,12:16:44,0.056
06/13/2022,12:16:45,0.055
06/13/2022,12:16:46,0.051
06/13/2022,12:16:47,0.049
06/13/2022,12:16:48,0.064
06/13/2022,12:16:49,0.048
06/13/2022,12:16:50,0.051
06/13/2022,12:16:51,0.057
06/13/2022,12:16:52,0.053
06/13/2022,12:16:53,0.051
06/13/2022,12:16:54,0.061
06/13/2022,12:16:55,0.055
06/13/2022,12:16:56,0.051
06/13/2022,12:16:57,0.049
06/13/2022,12:16:58,0.060
06/13/2022,12:16:59,0.050
06/13/2022,12:17:00,0.053
06/13/2022,12:17:01,0.061
06/13/2022,12:17:02,0.056
06/13/2022,12:17:03,0.056
06/13/2022,12:17:04,0.057
06/13/2022,12:17:05,0.055
06/13/2022,12:17:06,0.053
06/13/2022,12:17:07,0.050
06/13/2022,12:17:08,0.065
06/13/2022,12:17:09,0.057
06/13/2022,12:17:10,0.047
06/13/2022,12:17:11,0.057
06/13/2022,12:17:12,0.052
06/13/2022,12:17:13,0.057
06/13/2022,12:17:14,0.045
06/13/2022,12:17:15,0.053
06/13/2022,12:17:16,0.047
06/13/2022,12:17:17,0.047
06/13/2022,12:17:18,0.051
06/13/2022,12:17:19,0.055
06/13/2022,12:17:20,0.050
06/13/2022,12:17:21,0.060
06/13/2022,12:17:22,0.054
06/13/2022,12:17:23,0.046
06/13/2022,12:17:24,0.064
06/13/2022,12:17:25,0.060
06/13/2022,12:17:26,0.052
06/13/2022,12:17:27,0.054
06/13/2022,12:17:28,0.062
06/13/2022,12:17:29,0.054
06/13/2022,12:17:30,0.054
06/13/2022,12:17:31,0.056
06/13/2022,12:17:32,0.053
06/13/2022,12:17:33,0.060
06/13/2022,12:17:34,0.059
06/13/2022,12:17:35,0.064
06/13/2022,12:17:36,0.057
06/13/2022,12:17:37,0.053
06/13/2022,12:17:38,0.055
06/13/2022,12:17:39,0.063
06/13/2022,12:17:40,0.050
06/13/2022,12:17:41,0.052
06/13/2022,12:17:42,0.051
06/13/2022,12:17:43,0.051
06/13/2022,12:17:44,0.056
06/13/2022,12:17:45,0.071
06/13/2022,12:17:46,0.048
06/13/2022,12:17:47,0.050
06/13/2022,12:17:48,0.050
06/13/2022,12:17:49,0.051
06/13/2022,12:17:50,0.053
06/13/2022,12:17:51,0.048
06/13/2022,12:17:52,0.052
06/13/2022,12:17:53,0.058
06/13/2022,12:17:54,0.056
06/13/2022,12:17:55,0.049
06/13/2022,12:17:56,0.061
06/13/2022,12:17:57,0.058
06/13/2022,12:17:58,0.051
06/13/2022,12:17:59,0.055
06/13/2022,12:18:00,0.051
06/13/2022,12:18:01,0.053
06/13/2022,12:18:02,0.059
06/13/2022,12:18:03,0.061
06/13/2022,12:18:04,0.060
06/13/2022,12:18:05,0.053
06/13/2022,12:18:06,0.047
06/13/2022,12:18:07,0.055
06/13/2022,12:18:08,0.057
06/13/2022,12:18:09,0.046
06/13/2022,12:18:10,0.056
06/13/2022,12:18:11,0.054
06/13/2022,12:18:12,0.055
06/13/2022,12:18:13,0.060
06/13/2022,12:18:14,0.051
06/13/2022,12:18:15,0.052
06/13/2022,12:18:16,0.048
06/13/2022,12:18:17,0.055
06/13/2022,12:18:18,0.060
06/13/2022,12:18:19,0.050
06/13/2022,12:18:20,0.062
06/13/2022,12:18:21,0.062
06/13/2022,12:18:22,0.051
06/13/2022,12:18:23,0.057
06/13/2022,12:18:24,0.071
06/13/2022,12:18:25,0.056
06/13/2022,12:18:26,0.058
06/13/2022,12:18:27,0.050
06/13/2022,12:18:28,0.055
06/13/2022,12:18:29,0.060
06/13/2022,12:18:30,0.067
06/13/2022,12:18:31,0.079
06/13/2022,12:18:32,0.060
06/13/2022,12:18:33,0.057
06/13/2022,12:18:34,0.063
06/13/2022,12:18:35,0.052
06/13/2022,12:18:36,0.059
06/13/2022,12:18:37,0.060
06/13/2022,12:18:38,0.054
06/13/2022,12:18:39,0.053
06/13/2022,12:18:40,0.057
06/13/2022,12:18:41,0.058
06/13/2022,12:18:42,0.064
06/13/2022,12:18:43,0.050
06/13/2022,12:18:44,0.054
06/13/2022,12:18:45,0.071
06/13/2022,12:18:46,0.058
06/13/2022,12:18:47,0.057
06/13/2022,12:18:48,0.061
06/13/2022,12:18:49,0.056
06/13/2022,12:18:50,0.061
06/13/2022,12:18:51,0.060
06/13/2022,12:18:52,0.059
06/13/2022,12:18:53,0.048
06/13/2022,12:18:54,0.062
06/13/2022,12:18:55,0.054
06/13/2022,12:18:56,0.054
06/13/2022,12:18:57,0.056
06/13/2022,12:18:58,0.052
06/13/2022,12:18:59,0.055
06/13/2022,12:19:00,0.051
06/13/2022,12:19:01,0.058
06/13/2022,12:19:02,0.053
06/13/2022,12:19:03,0.055
06/13/2022,12:19:04,0.049
06/13/2022,12:19:05,0.047
06/13/2022,12:19:06,0.054
06/13/2022,12:19:07,0.063
06/13/2022,12:19:08,0.051
06/13/2022,12:19:09,0.048
06/13/2022,12:19:10,0.055
06/13/2022,12:19:11,0.052
06/13/2022,12:19:12,0.055
06/13/2022,12:19:13,0.050
06/13/2022,12:19:14,0.059
06/13/2022,12:19:15,0.051
06/13/2022,12:19:16,0.051
06/13/2022,12:19:17,0.051
06/13/2022,12:19:18,0.049
06/13/2022,12:19:19,0.047
06/13/2022,12:19:20,0.054
06/13/2022,12:19:21,0.056
06/13/2022,12:19:22,0.051
06/13/2022,12:19:23,0.054
06/13/2022,12:19:24,0.047
06/13/2022,12:19:25,0.058
06/13/2022,12:19:26,0.049
06/13/2022,12:19:27,0.049
06/13/2022,12:19:28,0.055
06/13/2022,12:19:29,0.046
06/13/2022,12:19:30,0.051
06/13/2022,12:19:31,0.053
06/13/2022,12:19:32,0.050
06/13/2022,12:19:33,0.045
06/13/2022,12:19:34,0.051
06/13/2022,12:19:35,0.056
06/13/2022,12:19:36,0.048
06/13/2022,12:19:37,0.042
06/13/2022,12:19:38,0.047
06/13/2022,12:19:39,0.053
06/13/2022,12:19:40,0.045
06/13/2022,12:19:41,0.050
06/13/2022,12:19:42,0.052
06/13/2022,12:19:43,0.058
06/13/2022,12:19:44,0.049
06/13/2022,12:19:45,0.049
06/13/2022,12:19:46,0.049
06/13/2022,12:19:47,0.050
06/13/2022,12:19:48,0.050
06/13/2022,12:19:49,0.048
06/13/2022,12:19:50,0.048
06/13/2022,12:19:51,0.050
06/13/2022,12:19:52,0.047
06/13/2022,12:19:53,0.057
06/13/2022,12:19:54,0.058
06/13/2022,12:19:55,0.050
06/13/2022,12:19:56,0.051
06/13/2022,12:19:57,0.057
06/13/2022,12:19:58,0.055
06/13/2022,12:19:59,0.054
06/13/2022,12:20:00,0.050
06/13/2022,12:20:01,0.049
06/13/2022,12:20:02,0.050
06/13/2022,12:20:03,0.055
06/13/2022,12:20:04,0.049
06/13/2022,12:20:05,0.054
06/13/2022,12:20:06,0.050
06/13/2022,12:20:07,0.057
06/13/2022,12:20:08,0.062
06/13/2022,12:20:09,0.052
06/13/2022,12:20:10,0.047
06/13/2022,12:20:11,0.050
06/13/2022,12:20:12,0.069
06/13/2022,12:20:13,0.051
06/13/2022,12:20:14,0.053
06/13/2022,12:20:15,0.054
06/13/2022,12:20:16,0.051
06/13/2022,12:20:17,0.053
06/13/2022,12:20:18,0.050
06/13/2022,12:20:19,0.049
06/13/2022,12:20:20,0.052
06/13/2022,12:20:21,0.045
06/13/2022,12:20:22,0.054
06/13/2022,12:20:23,0.054
06/13/2022,12:20:24,0.052
06/13/2022,12:20:25,0.044
06/13/2022,12:20:26,0.050
06/13/2022,12:20:27,0.046
06/13/2022,12:20:28,0.047
06/13/2022,12:20:29,0.046
06/13/2022,12:20:30,0.055
06/13/2022,12:20:31,0.055
06/13/2022,12:20:32,0.048
06/13/2022,12:20:33,0.059
06/13/2022,12:20:34,0.050
06/13/2022,12:20:35,0.055
