TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 3
Start Date:,06/13/2022
Start Time:,12:02:44
Duration (dd:hh:mm:ss):,00:00:11:25
Log Interval (mm:ss):,00:01
Number of points:,685
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.041
,Minimum:,0.026
,Time of Minimum:,12:12:34
,Date of Minimum:,06/13/2022
,Maximum:,0.080
,Time of Maximum:,12:13:19
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,12:02:45,0.046
06/13/2022,12:02:46,0.052
06/13/2022,12:02:47,0.051
06/13/2022,12:02:48,0.048
06/13/2022,12:02:49,0.056
06/13/2022,12:02:50,0.049
06/13/2022,12:02:51,0.063
06/13/2022,12:02:52,0.055
06/13/2022,12:02:53,0.048
06/13/2022,12:02:54,0.051
06/13/2022,12:02:55,0.048
06/13/2022,12:02:56,0.056
06/13/2022,12:02:57,0.045
06/13/2022,12:02:58,0.048
06/13/2022,12:02:59,0.052
06/13/2022,12:03:00,0.049
06/13/2022,12:03:01,0.055
06/13/2022,12:03:02,0.051
06/13/2022,12:03:03,0.048
06/13/2022,12:03:04,0.055
06/13/2022,12:03:05,0.053
06/13/2022,12:03:06,0.046
06/13/2022,12:03:07,0.054
06/13/2022,12:03:08,0.050
06/13/2022,12:03:09,0.053
06/13/2022,12:03:10,0.049
06/13/2022,12:03:11,0.048
06/13/2022,12:03:12,0.046
06/13/2022,12:03:13,0.046
06/13/2022,12:03:14,0.052
06/13/2022,12:03:15,0.047
06/13/2022,12:03:16,0.048
06/13/2022,12:03:17,0.044
06/13/2022,12:03:18,0.038
06/13/2022,12:03:19,0.046
06/13/2022,12:03:20,0.050
06/13/2022,12:03:21,0.054
06/13/2022,12:03:22,0.051
06/13/2022,12:03:23,0.048
06/13/2022,12:03:24,0.043
06/13/2022,12:03:25,0.048
06/13/2022,12:03:26,0.045
06/13/2022,12:03:27,0.052
06/13/2022,12:03:28,0.049
06/13/2022,12:03:29,0.054
06/13/2022,12:03:30,0.047
06/13/2022,12:03:31,0.044
06/13/2022,12:03:32,0.044
06/13/2022,12:03:33,0.048
06/13/2022,12:03:34,0.051
06/13/2022,12:03:35,0.054
06/13/2022,12:03:36,0.047
06/13/2022,12:03:37,0.045
06/13/2022,12:03:38,0.048
06/13/2022,12:03:39,0.048
06/13/2022,12:03:40,0.044
06/13/2022,12:03:41,0.042
06/13/2022,12:03:42,0.055
06/13/2022,12:03:43,0.049
06/13/2022,12:03:44,0.051
06/13/2022,12:03:45,0.052
06/13/2022,12:03:46,0.046
06/13/2022,12:03:47,0.047
06/13/2022,12:03:48,0.040
06/13/2022,12:03:49,0.047
06/13/2022,12:03:50,0.044
06/13/2022,12:03:51,0.057
06/13/2022,12:03:52,0.045
06/13/2022,12:03:53,0.044
06/13/2022,12:03:54,0.044
06/13/2022,12:03:55,0.049
06/13/2022,12:03:56,0.044
06/13/2022,12:03:57,0.040
06/13/2022,12:03:58,0.048
06/13/2022,12:03:59,0.041
06/13/2022,12:04:00,0.049
06/13/2022,12:04:01,0.046
06/13/2022,12:04:02,0.044
06/13/2022,12:04:03,0.046
06/13/2022,12:04:04,0.041
06/13/2022,12:04:05,0.047
06/13/2022,12:04:06,0.045
06/13/2022,12:04:07,0.045
06/13/2022,12:04:08,0.040
06/13/2022,12:04:09,0.057
06/13/2022,12:04:10,0.048
06/13/2022,12:04:11,0.048
06/13/2022,12:04:12,0.045
06/13/2022,12:04:13,0.045
06/13/2022,12:04:14,0.055
06/13/2022,12:04:15,0.043
06/13/2022,12:04:16,0.044
06/13/2022,12:04:17,0.048
06/13/2022,12:04:18,0.048
06/13/2022,12:04:19,0.048
06/13/2022,12:04:20,0.038
06/13/2022,12:04:21,0.040
06/13/2022,12:04:22,0.044
06/13/2022,12:04:23,0.043
06/13/2022,12:04:24,0.052
06/13/2022,12:04:25,0.052
06/13/2022,12:04:26,0.049
06/13/2022,12:04:27,0.041
06/13/2022,12:04:28,0.042
06/13/2022,12:04:29,0.049
06/13/2022,12:04:30,0.044
06/13/2022,12:04:31,0.046
06/13/2022,12:04:32,0.044
06/13/2022,12:04:33,0.053
06/13/2022,12:04:34,0.044
06/13/2022,12:04:35,0.042
06/13/2022,12:04:36,0.045
06/13/2022,12:04:37,0.047
06/13/2022,12:04:38,0.046
06/13/2022,12:04:39,0.039
06/13/2022,12:04:40,0.049
06/13/2022,12:04:41,0.047
06/13/2022,12:04:42,0.041
06/13/2022,12:04:43,0.045
06/13/2022,12:04:44,0.045
06/13/2022,12:04:45,0.042
06/13/2022,12:04:46,0.043
06/13/2022,12:04:47,0.041
06/13/2022,12:04:48,0.046
