TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 17
Start Date:,06/14/2022
Start Time:,12:26:10
Duration (dd:hh:mm:ss):,00:00:11:05
Log Interval (mm:ss):,00:01
Number of points:,665
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.028
,Minimum:,0.020
,Time of Minimum:,12:28:59
,Date of Minimum:,06/14/2022
,Maximum:,0.044
,Time of Maximum:,12:35:26
,Date of Maximum:,06/14/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/14/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/14/2022,12:26:11,0.028
06/14/2022,12:26:12,0.029
06/14/2022,12:26:13,0.029
06/14/2022,12:26:14,0.029
06/14/2022,12:26:15,0.027
06/14/2022,12:26:16,0.024
06/14/2022,12:26:17,0.024
06/14/2022,12:26:18,0.025
06/14/2022,12:26:19,0.026
06/14/2022,12:26:20,0.024
06/14/2022,12:26:21,0.037
06/14/2022,12:26:22,0.028
06/14/2022,12:26:23,0.035
06/14/2022,12:26:24,0.031
06/14/2022,12:26:25,0.034
06/14/2022,12:26:26,0.038
06/14/2022,12:26:27,0.042
06/14/2022,12:26:28,0.036
06/14/2022,12:26:29,0.042
06/14/2022,12:26:30,0.042
06/14/2022,12:26:31,0.041
06/14/2022,12:26:32,0.037
06/14/2022,12:26:33,0.038
06/14/2022,12:26:34,0.032
06/14/2022,12:26:35,0.035
06/14/2022,12:26:36,0.033
06/14/2022,12:26:37,0.027
06/14/2022,12:26:38,0.032
06/14/2022,12:26:39,0.029
06/14/2022,12:26:40,0.028
06/14/2022,12:26:41,0.038
06/14/2022,12:26:42,0.031
06/14/2022,12:26:43,0.029
06/14/2022,12:26:44,0.044
06/14/2022,12:26:45,0.033
06/14/2022,12:26:46,0.025
06/14/2022,12:26:47,0.036
06/14/2022,12:26:48,0.029
06/14/2022,12:26:49,0.024
06/14/2022,12:26:50,0.035
06/14/2022,12:26:51,0.027
06/14/2022,12:26:52,0.032
06/14/2022,12:26:53,0.031
06/14/2022,12:26:54,0.024
06/14/2022,12:26:55,0.030
06/14/2022,12:26:56,0.028
06/14/2022,12:26:57,0.030
06/14/2022,12:26:58,0.027
06/14/2022,12:26:59,0.024
06/14/2022,12:27:00,0.028
06/14/2022,12:27:01,0.038
06/14/2022,12:27:02,0.028
06/14/2022,12:27:03,0.037
06/14/2022,12:27:04,0.029
06/14/2022,12:27:05,0.035
06/14/2022,12:27:06,0.037
06/14/2022,12:27:07,0.041
06/14/2022,12:27:08,0.030
06/14/2022,12:27:09,0.035
06/14/2022,12:27:10,0.028
06/14/2022,12:27:11,0.029
06/14/2022,12:27:12,0.039
06/14/2022,12:27:13,0.030
06/14/2022,12:27:14,0.029
06/14/2022,12:27:15,0.029
06/14/2022,12:27:16,0.030
06/14/2022,12:27:17,0.028
06/14/2022,12:27:18,0.038
06/14/2022,12:27:19,0.036
06/14/2022,12:27:20,0.035
06/14/2022,12:27:21,0.037
06/14/2022,12:27:22,0.033
06/14/2022,12:27:23,0.028
06/14/2022,12:27:24,0.030
06/14/2022,12:27:25,0.027
06/14/2022,12:27:26,0.029
06/14/2022,12:27:27,0.034
06/14/2022,12:27:28,0.033
06/14/2022,12:27:29,0.030
06/14/2022,12:27:30,0.033
06/14/2022,12:27:31,0.037
06/14/2022,12:27:32,0.030
06/14/2022,12:27:33,0.029
06/14/2022,12:27:34,0.032
06/14/2022,12:27:35,0.033
06/14/2022,12:27:36,0.036
06/14/2022,12:27:37,0.026
06/14/2022,12:27:38,0.030
06/14/2022,12:27:39,0.036
06/14/2022,12:27:40,0.035
06/14/2022,12:27:41,0.027
06/14/2022,12:27:42,0.030
06/14/2022,12:27:43,0.030
06/14/2022,12:27:44,0.030
06/14/2022,12:27:45,0.025
06/14/2022,12:27:46,0.034
06/14/2022,12:27:47,0.029
06/14/2022,12:27:48,0.034
06/14/2022,12:27:49,0.028
06/14/2022,12:27:50,0.029
06/14/2022,12:27:51,0.030
06/14/2022,12:27:52,0.030
06/14/2022,12:27:53,0.027
06/14/2022,12:27:54,0.030
06/14/2022,12:27:55,0.033
06/14/2022,12:27:56,0.028
06/14/2022,12:27:57,0.030
06/14/2022,12:27:58,0.032
06/14/2022,12:27:59,0.032
06/14/2022,12:28:00,0.026
06/14/2022,12:28:01,0.034
06/14/2022,12:28:02,0.031
06/14/2022,12:28:03,0.030
06/14/2022,12:28:04,0.026
06/14/2022,12:28:05,0.031
06/14/2022,12:28:06,0.028
06/14/2022,12:28:07,0.031
06/14/2022,12:28:08,0.027
06/14/2022,12:28:09,0.036
06/14/2022,12:28:10,0.027
06/14/2022,12:28:11,0.024
06/14/2022,12:28:12,0.025
06/14/2022,12:28:13,0.030
06/14/2022,12:28:14,0.027
06/14/2022,12:28:15,0.025
06/14/2022,12:28:16,0.037
06/14/2022,12:28:17,0.027
06/14/2022,12:28:18,0.025
06/14/2022,12:28:19,0.027
06/14/2022,12:28:20,0.024
06/14/2022,12:28:21,0.028
06/14/2022,12:28:22,0.025
06/14/2022,12:28:23,0.027
06/14/2022,12:28:24,0.032
06/14/2022,12:28:25,0.027
06/14/2022,12:28:26,0.026
06/14/2022,12:28:27,0.032
06/14/2022,12:28:28,0.030
06/14/2022,12:28:29,0.033
06/14/2022,12:28:30,0.034
06/14/2022,12:28:31,0.027
06/14/2022,12:28:32,0.030
06/14/2022,12:28:33,0.039
06/14/2022,12:28:34,0.028
06/14/2022,12:28:35,0.028
06/14/2022,12:28:36,0.031
06/14/2022,12:28:37,0.025
06/14/2022,12:28:38,0.029
06/14/2022,12:28:39,0.023
06/14/2022,12:28:40,0.026
06/14/2022,12:28:41,0.022
06/14/2022,12:28:42,0.031
06/14/2022,12:28:43,0.025
06/14/2022,12:28:44,0.031
06/14/2022,12:28:45,0.025
06/14/2022,12:28:46,0.022
06/14/2022,12:28:47,0.030
06/14/2022,12:28:48,0.029
06/14/2022,12:28:49,0.024
06/14/2022,12:28:50,0.025
06/14/2022,12:28:51,0.026
06/14/2022,12:28:52,0.023
06/14/2022,12:28:53,0.025
06/14/2022,12:28:54,0.022
06/14/2022,12:28:55,0.029
06/14/2022,12:28:56,0.030
06/14/2022,12:28:57,0.023
06/14/2022,12:28:58,0.022
06/14/2022,12:28:59,0.020
06/14/2022,12:29:00,0.027
06/14/2022,12:29:01,0.023
06/14/2022,12:29:02,0.030
06/14/2022,12:29:03,0.025
06/14/2022,12:29:04,0.024
06/14/2022,12:29:05,0.026
06/14/2022,12:29:06,0.022
06/14/2022,12:29:07,0.028
06/14/2022,12:29:08,0.023
06/14/2022,12:29:09,0.028
06/14/2022,12:29:10,0.034
06/14/2022,12:29:11,0.023
06/14/2022,12:29:12,0.025
