TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 5
Start Date:,06/16/2022
Start Time:,01:25:16
Duration (dd:hh:mm:ss):,00:00:17:57
Log Interval (mm:ss):,00:01
Number of points:,1077
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.081
,Minimum:,0.051
,Time of Minimum:,01:31:15
,Date of Minimum:,06/16/2022
,Maximum:,0.133
,Time of Maximum:,01:37:40
,Date of Maximum:,06/16/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/16/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/16/2022,13:25:17,0.097
06/16/2022,13:25:18,0.106
06/16/2022,13:25:19,0.100
06/16/2022,13:25:20,0.104
06/16/2022,13:25:21,0.099
06/16/2022,13:25:22,0.102
06/16/2022,13:25:23,0.101
06/16/2022,13:25:24,0.097
06/16/2022,13:25:25,0.107
06/16/2022,13:25:26,0.098
06/16/2022,13:25:27,0.094
06/16/2022,13:25:28,0.096
06/16/2022,13:25:29,0.108
06/16/2022,13:25:30,0.101
06/16/2022,13:25:31,0.101
06/16/2022,13:25:32,0.098
06/16/2022,13:25:33,0.097
06/16/2022,13:25:34,0.100
06/16/2022,13:25:35,0.095
06/16/2022,13:25:36,0.099
06/16/2022,13:25:37,0.098
06/16/2022,13:25:38,0.107
06/16/2022,13:25:39,0.109
06/16/2022,13:25:40,0.122
06/16/2022,13:25:41,0.097
06/16/2022,13:25:42,0.101
06/16/2022,13:25:43,0.105
06/16/2022,13:25:44,0.104
06/16/2022,13:25:45,0.104
06/16/2022,13:25:46,0.099
06/16/2022,13:25:47,0.100
06/16/2022,13:25:48,0.095
06/16/2022,13:25:49,0.099
06/16/2022,13:25:50,0.098
06/16/2022,13:25:51,0.094
06/16/2022,13:25:52,0.103
06/16/2022,13:25:53,0.093
06/16/2022,13:25:54,0.110
06/16/2022,13:25:55,0.096
06/16/2022,13:25:56,0.111
06/16/2022,13:25:57,0.103
06/16/2022,13:25:58,0.105
06/16/2022,13:25:59,0.126
06/16/2022,13:26:00,0.102
06/16/2022,13:26:01,0.096
06/16/2022,13:26:02,0.115
06/16/2022,13:26:03,0.097
06/16/2022,13:26:04,0.091
06/16/2022,13:26:05,0.096
06/16/2022,13:26:06,0.095
06/16/2022,13:26:07,0.102
06/16/2022,13:26:08,0.110
06/16/2022,13:26:09,0.094
06/16/2022,13:26:10,0.098
06/16/2022,13:26:11,0.108
