TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 2
Start Date:,06/17/2022
Start Time:,07:54:28
Duration (dd:hh:mm:ss):,00:00:39:16
Log Interval (mm:ss):,00:01
Number of points:,2356
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.139
,Minimum:,0.102
,Time of Minimum:,08:30:42
,Date of Minimum:,06/17/2022
,Maximum:,0.206
,Time of Maximum:,07:59:41
,Date of Maximum:,06/17/2022

,TWA:,0.011

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,07:54:29,0.154
06/17/2022,07:54:30,0.171
06/17/2022,07:54:31,0.172
06/17/2022,07:54:32,0.156
06/17/2022,07:54:33,0.171
06/17/2022,07:54:34,0.150
06/17/2022,07:54:35,0.167
06/17/2022,07:54:36,0.175
06/17/2022,07:54:37,0.173
06/17/2022,07:54:38,0.168
06/17/2022,07:54:39,0.167
06/17/2022,07:54:40,0.156
06/17/2022,07:54:41,0.161
06/17/2022,07:54:42,0.153
06/17/2022,07:54:43,0.155
06/17/2022,07:54:44,0.149
06/17/2022,07:54:45,0.154
06/17/2022,07:54:46,0.151
06/17/2022,07:54:47,0.147
06/17/2022,07:54:48,0.157
06/17/2022,07:54:49,0.174
06/17/2022,07:54:50,0.164
06/17/2022,07:54:51,0.159
06/17/2022,07:54:52,0.155
06/17/2022,07:54:53,0.147
06/17/2022,07:54:54,0.152
06/17/2022,07:54:55,0.154
06/17/2022,07:54:56,0.143
06/17/2022,07:54:57,0.147
06/17/2022,07:54:58,0.143
06/17/2022,07:54:59,0.150
06/17/2022,07:55:00,0.144
06/17/2022,07:55:01,0.157
06/17/2022,07:55:02,0.154
06/17/2022,07:55:03,0.141
06/17/2022,07:55:04,0.148
06/17/2022,07:55:05,0.153
06/17/2022,07:55:06,0.143
06/17/2022,07:55:07,0.143
06/17/2022,07:55:08,0.137
06/17/2022,07:55:09,0.161
06/17/2022,07:55:10,0.147
06/17/2022,07:55:11,0.154
06/17/2022,07:55:12,0.141
