TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 3
Start Date:,06/17/2022
Start Time:,08:34:08
Duration (dd:hh:mm:ss):,00:00:39:27
Log Interval (mm:ss):,00:01
Number of points:,2367
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.136
,Minimum:,0.109
,Time of Minimum:,08:36:01
,Date of Minimum:,06/17/2022
,Maximum:,0.192
,Time of Maximum:,08:58:22
,Date of Maximum:,06/17/2022

,TWA:,0.011

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,08:34:09,0.131
06/17/2022,08:34:10,0.115
06/17/2022,08:34:11,0.132
06/17/2022,08:34:12,0.120
06/17/2022,08:34:13,0.127
06/17/2022,08:34:14,0.138
06/17/2022,08:34:15,0.124
06/17/2022,08:34:16,0.124
06/17/2022,08:34:17,0.122
06/17/2022,08:34:18,0.119
06/17/2022,08:34:19,0.127
06/17/2022,08:34:20,0.116
06/17/2022,08:34:21,0.122
06/17/2022,08:34:22,0.115
06/17/2022,08:34:23,0.121
06/17/2022,08:34:24,0.132
06/17/2022,08:34:25,0.144
06/17/2022,08:34:26,0.122
06/17/2022,08:34:27,0.127
06/17/2022,08:34:28,0.113
06/17/2022,08:34:29,0.126
06/17/2022,08:34:30,0.123
06/17/2022,08:34:31,0.119
06/17/2022,08:34:32,0.124
06/17/2022,08:34:33,0.123
06/17/2022,08:34:34,0.126
06/17/2022,08:34:35,0.128
06/17/2022,08:34:36,0.133
06/17/2022,08:34:37,0.122
06/17/2022,08:34:38,0.128
06/17/2022,08:34:39,0.117
06/17/2022,08:34:40,0.119
06/17/2022,08:34:41,0.124
06/17/2022,08:34:42,0.132
06/17/2022,08:34:43,0.123
06/17/2022,08:34:44,0.132
06/17/2022,08:34:45,0.122
06/17/2022,08:34:46,0.127
06/17/2022,08:34:47,0.144
06/17/2022,08:34:48,0.125
06/17/2022,08:34:49,0.146
06/17/2022,08:34:50,0.111
06/17/2022,08:34:51,0.123
06/17/2022,08:34:52,0.124
06/17/2022,08:34:53,0.124
06/17/2022,08:34:54,0.123
06/17/2022,08:34:55,0.133
06/17/2022,08:34:56,0.121
06/17/2022,08:34:57,0.129
06/17/2022,08:34:58,0.118
06/17/2022,08:34:59,0.125
06/17/2022,08:35:00,0.128
06/17/2022,08:35:01,0.147
06/17/2022,08:35:02,0.140
06/17/2022,08:35:03,0.135
06/17/2022,08:35:04,0.128
06/17/2022,08:35:05,0.140
06/17/2022,08:35:06,0.116
06/17/2022,08:35:07,0.123
06/17/2022,08:35:08,0.140
06/17/2022,08:35:09,0.121
06/17/2022,08:35:10,0.126
06/17/2022,08:35:11,0.121
06/17/2022,08:35:12,0.122
06/17/2022,08:35:13,0.129
06/17/2022,08:35:14,0.121
06/17/2022,08:35:15,0.126
06/17/2022,08:35:16,0.119
06/17/2022,08:35:17,0.121
06/17/2022,08:35:18,0.127
06/17/2022,08:35:19,0.119
06/17/2022,08:35:20,0.125
06/17/2022,08:35:21,0.120
06/17/2022,08:35:22,0.122
06/17/2022,08:35:23,0.123
06/17/2022,08:35:24,0.115
06/17/2022,08:35:25,0.118
06/17/2022,08:35:26,0.120
06/17/2022,08:35:27,0.125
06/17/2022,08:35:28,0.117
06/17/2022,08:35:29,0.117
06/17/2022,08:35:30,0.132
06/17/2022,08:35:31,0.115
06/17/2022,08:35:32,0.134
06/17/2022,08:35:33,0.115
06/17/2022,08:35:34,0.129
06/17/2022,08:35:35,0.130
06/17/2022,08:35:36,0.112
06/17/2022,08:35:37,0.127
06/17/2022,08:35:38,0.132
06/17/2022,08:35:39,0.126
06/17/2022,08:35:40,0.120
06/17/2022,08:35:41,0.116
06/17/2022,08:35:42,0.122
06/17/2022,08:35:43,0.128
06/17/2022,08:35:44,0.120
06/17/2022,08:35:45,0.118
06/17/2022,08:35:46,0.117
06/17/2022,08:35:47,0.116
06/17/2022,08:35:48,0.122
06/17/2022,08:35:49,0.132
06/17/2022,08:35:50,0.121
06/17/2022,08:35:51,0.114
06/17/2022,08:35:52,0.119
06/17/2022,08:35:53,0.111
06/17/2022,08:35:54,0.124
06/17/2022,08:35:55,0.117
06/17/2022,08:35:56,0.120
06/17/2022,08:35:57,0.118
06/17/2022,08:35:58,0.136
06/17/2022,08:35:59,0.129
06/17/2022,08:36:00,0.117
06/17/2022,08:36:01,0.109
06/17/2022,08:36:02,0.124
06/17/2022,08:36:03,0.125
06/17/2022,08:36:04,0.131
06/17/2022,08:36:05,0.119
06/17/2022,08:36:06,0.143
06/17/2022,08:36:07,0.124
06/17/2022,08:36:08,0.121
06/17/2022,08:36:09,0.119
06/17/2022,08:36:10,0.135
06/17/2022,08:36:11,0.126
06/17/2022,08:36:12,0.119
06/17/2022,08:36:13,0.117
06/17/2022,08:36:14,0.123
06/17/2022,08:36:15,0.139
06/17/2022,08:36:16,0.121
06/17/2022,08:36:17,0.118
06/17/2022,08:36:18,0.120
06/17/2022,08:36:19,0.114
06/17/2022,08:36:20,0.122
06/17/2022,08:36:21,0.122
06/17/2022,08:36:22,0.136
06/17/2022,08:36:23,0.143
06/17/2022,08:36:24,0.127
06/17/2022,08:36:25,0.126
06/17/2022,08:36:26,0.124
06/17/2022,08:36:27,0.125
06/17/2022,08:36:28,0.113
06/17/2022,08:36:29,0.124
06/17/2022,08:36:30,0.121
06/17/2022,08:36:31,0.119
06/17/2022,08:36:32,0.131
06/17/2022,08:36:33,0.145
06/17/2022,08:36:34,0.130
06/17/2022,08:36:35,0.114
