TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 4
Start Date:,06/17/2022
Start Time:,09:13:57
Duration (dd:hh:mm:ss):,00:00:29:28
Log Interval (mm:ss):,00:01
Number of points:,1768
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.131
,Minimum:,0.106
,Time of Minimum:,09:23:56
,Date of Minimum:,06/17/2022
,Maximum:,0.184
,Time of Maximum:,09:30:21
,Date of Maximum:,06/17/2022

,TWA:,0.008

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,09:13:58,0.142
06/17/2022,09:13:59,0.148
06/17/2022,09:14:00,0.132
06/17/2022,09:14:01,0.142
06/17/2022,09:14:02,0.150
06/17/2022,09:14:03,0.154
06/17/2022,09:14:04,0.157
06/17/2022,09:14:05,0.128
06/17/2022,09:14:06,0.144
06/17/2022,09:14:07,0.139
06/17/2022,09:14:08,0.145
06/17/2022,09:14:09,0.155
06/17/2022,09:14:10,0.137
06/17/2022,09:14:11,0.142
06/17/2022,09:14:12,0.137
06/17/2022,09:14:13,0.128
06/17/2022,09:14:14,0.139
06/17/2022,09:14:15,0.134
06/17/2022,09:14:16,0.131
06/17/2022,09:14:17,0.121
06/17/2022,09:14:18,0.139
06/17/2022,09:14:19,0.132
06/17/2022,09:14:20,0.142
06/17/2022,09:14:21,0.142
06/17/2022,09:14:22,0.142
06/17/2022,09:14:23,0.139
06/17/2022,09:14:24,0.132
06/17/2022,09:14:25,0.131
06/17/2022,09:14:26,0.142
06/17/2022,09:14:27,0.128
06/17/2022,09:14:28,0.130
06/17/2022,09:14:29,0.124
06/17/2022,09:14:30,0.134
06/17/2022,09:14:31,0.134
06/17/2022,09:14:32,0.138
06/17/2022,09:14:33,0.143
06/17/2022,09:14:34,0.147
06/17/2022,09:14:35,0.135
06/17/2022,09:14:36,0.131
06/17/2022,09:14:37,0.140
06/17/2022,09:14:38,0.145
06/17/2022,09:14:39,0.135
06/17/2022,09:14:40,0.151
06/17/2022,09:14:41,0.138
06/17/2022,09:14:42,0.136
06/17/2022,09:14:43,0.142
06/17/2022,09:14:44,0.121
06/17/2022,09:14:45,0.135
06/17/2022,09:14:46,0.125
06/17/2022,09:14:47,0.138
06/17/2022,09:14:48,0.143
06/17/2022,09:14:49,0.137
06/17/2022,09:14:50,0.142
06/17/2022,09:14:51,0.128
06/17/2022,09:14:52,0.132
06/17/2022,09:14:53,0.130
06/17/2022,09:14:54,0.137
06/17/2022,09:14:55,0.149
06/17/2022,09:14:56,0.143
06/17/2022,09:14:57,0.140
06/17/2022,09:14:58,0.140
06/17/2022,09:14:59,0.139
06/17/2022,09:15:00,0.148
06/17/2022,09:15:01,0.134
06/17/2022,09:15:02,0.136
06/17/2022,09:15:03,0.127
06/17/2022,09:15:04,0.134
06/17/2022,09:15:05,0.131
06/17/2022,09:15:06,0.133
06/17/2022,09:15:07,0.142
06/17/2022,09:15:08,0.135
06/17/2022,09:15:09,0.124
06/17/2022,09:15:10,0.130
06/17/2022,09:15:11,0.127
06/17/2022,09:15:12,0.127
06/17/2022,09:15:13,0.141
06/17/2022,09:15:14,0.133
06/17/2022,09:15:15,0.130
06/17/2022,09:15:16,0.144
06/17/2022,09:15:17,0.132
06/17/2022,09:15:18,0.134
06/17/2022,09:15:19,0.127
06/17/2022,09:15:20,0.141
06/17/2022,09:15:21,0.132
06/17/2022,09:15:22,0.140
06/17/2022,09:15:23,0.126
06/17/2022,09:15:24,0.132
06/17/2022,09:15:25,0.131
06/17/2022,09:15:26,0.139
06/17/2022,09:15:27,0.132
06/17/2022,09:15:28,0.128
06/17/2022,09:15:29,0.119
06/17/2022,09:15:30,0.146
06/17/2022,09:15:31,0.141
06/17/2022,09:15:32,0.138
06/17/2022,09:15:33,0.136
06/17/2022,09:15:34,0.117
06/17/2022,09:15:35,0.127
06/17/2022,09:15:36,0.129
06/17/2022,09:15:37,0.135
06/17/2022,09:15:38,0.134
06/17/2022,09:15:39,0.156
06/17/2022,09:15:40,0.136
06/17/2022,09:15:41,0.128
06/17/2022,09:15:42,0.121
06/17/2022,09:15:43,0.125
06/17/2022,09:15:44,0.129
06/17/2022,09:15:45,0.132
06/17/2022,09:15:46,0.127
06/17/2022,09:15:47,0.122
06/17/2022,09:15:48,0.145
06/17/2022,09:15:49,0.132
06/17/2022,09:15:50,0.131
06/17/2022,09:15:51,0.130
06/17/2022,09:15:52,0.139
06/17/2022,09:15:53,0.135
06/17/2022,09:15:54,0.127
06/17/2022,09:15:55,0.142
06/17/2022,09:15:56,0.133
06/17/2022,09:15:57,0.133
06/17/2022,09:15:58,0.128
06/17/2022,09:15:59,0.130
06/17/2022,09:16:00,0.128
06/17/2022,09:16:01,0.135
06/17/2022,09:16:02,0.128
06/17/2022,09:16:03,0.129
06/17/2022,09:16:04,0.133
06/17/2022,09:16:05,0.131
06/17/2022,09:16:06,0.134
06/17/2022,09:16:07,0.129
06/17/2022,09:16:08,0.140
06/17/2022,09:16:09,0.136
06/17/2022,09:16:10,0.121
06/17/2022,09:16:11,0.122
