TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/17/2022
Start Time:,07:27:59
Duration (dd:hh:mm:ss):,00:00:19:07
Log Interval (mm:ss):,00:01
Number of points:,1147
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.159
,Minimum:,0.133
,Time of Minimum:,07:45:25
,Date of Minimum:,06/17/2022
,Maximum:,0.229
,Time of Maximum:,07:28:35
,Date of Maximum:,06/17/2022

,TWA:,0.006

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,07:28:00,0.149
06/17/2022,07:28:01,0.148
06/17/2022,07:28:02,0.168
06/17/2022,07:28:03,0.155
06/17/2022,07:28:04,0.166
06/17/2022,07:28:05,0.169
06/17/2022,07:28:06,0.155
06/17/2022,07:28:07,0.163
06/17/2022,07:28:08,0.157
06/17/2022,07:28:09,0.162
06/17/2022,07:28:10,0.169
06/17/2022,07:28:11,0.153
06/17/2022,07:28:12,0.154
06/17/2022,07:28:13,0.150
06/17/2022,07:28:14,0.153
06/17/2022,07:28:15,0.175
06/17/2022,07:28:16,0.163
06/17/2022,07:28:17,0.164
06/17/2022,07:28:18,0.177
06/17/2022,07:28:19,0.166
06/17/2022,07:28:20,0.149
06/17/2022,07:28:21,0.176
06/17/2022,07:28:22,0.167
06/17/2022,07:28:23,0.164
06/17/2022,07:28:24,0.155
06/17/2022,07:28:25,0.162
06/17/2022,07:28:26,0.167
06/17/2022,07:28:27,0.152
06/17/2022,07:28:28,0.152
06/17/2022,07:28:29,0.157
06/17/2022,07:28:30,0.158
06/17/2022,07:28:31,0.162
06/17/2022,07:28:32,0.161
06/17/2022,07:28:33,0.165
06/17/2022,07:28:34,0.152
06/17/2022,07:28:35,0.229
06/17/2022,07:28:36,0.172
06/17/2022,07:28:37,0.140
06/17/2022,07:28:38,0.176
06/17/2022,07:28:39,0.166
06/17/2022,07:28:40,0.158
06/17/2022,07:28:41,0.155
06/17/2022,07:28:42,0.151
06/17/2022,07:28:43,0.165
06/17/2022,07:28:44,0.152
06/17/2022,07:28:45,0.151
06/17/2022,07:28:46,0.158
06/17/2022,07:28:47,0.157
06/17/2022,07:28:48,0.162
06/17/2022,07:28:49,0.173
06/17/2022,07:28:50,0.150
06/17/2022,07:28:51,0.156
06/17/2022,07:28:52,0.160
06/17/2022,07:28:53,0.152
06/17/2022,07:28:54,0.177
