TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 5
Start Date:,06/17/2022
Start Time:,12:24:24
Duration (dd:hh:mm:ss):,00:00:18:13
Log Interval (mm:ss):,00:01
Number of points:,1093
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.089
,Minimum:,0.071
,Time of Minimum:,12:34:24
,Date of Minimum:,06/17/2022
,Maximum:,0.172
,Time of Maximum:,12:30:14
,Date of Maximum:,06/17/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,12:24:25,0.098
06/17/2022,12:24:26,0.087
06/17/2022,12:24:27,0.089
06/17/2022,12:24:28,0.081
06/17/2022,12:24:29,0.092
06/17/2022,12:24:30,0.091
06/17/2022,12:24:31,0.094
06/17/2022,12:24:32,0.085
06/17/2022,12:24:33,0.088
06/17/2022,12:24:34,0.101
06/17/2022,12:24:35,0.081
06/17/2022,12:24:36,0.091
06/17/2022,12:24:37,0.090
06/17/2022,12:24:38,0.096
06/17/2022,12:24:39,0.094
06/17/2022,12:24:40,0.090
06/17/2022,12:24:41,0.097
06/17/2022,12:24:42,0.104
06/17/2022,12:24:43,0.093
06/17/2022,12:24:44,0.085
06/17/2022,12:24:45,0.088
06/17/2022,12:24:46,0.100
06/17/2022,12:24:47,0.094
06/17/2022,12:24:48,0.091
06/17/2022,12:24:49,0.095
06/17/2022,12:24:50,0.086
06/17/2022,12:24:51,0.107
06/17/2022,12:24:52,0.093
06/17/2022,12:24:53,0.092
06/17/2022,12:24:54,0.090
06/17/2022,12:24:55,0.088
06/17/2022,12:24:56,0.096
06/17/2022,12:24:57,0.104
06/17/2022,12:24:58,0.102
06/17/2022,12:24:59,0.090
06/17/2022,12:25:00,0.089
06/17/2022,12:25:01,0.097
06/17/2022,12:25:02,0.095
06/17/2022,12:25:03,0.087
06/17/2022,12:25:04,0.089
06/17/2022,12:25:05,0.087
06/17/2022,12:25:06,0.085
06/17/2022,12:25:07,0.093
06/17/2022,12:25:08,0.101
06/17/2022,12:25:09,0.094
06/17/2022,12:25:10,0.102
06/17/2022,12:25:11,0.085
06/17/2022,12:25:12,0.097
06/17/2022,12:25:13,0.094
06/17/2022,12:25:14,0.096
06/17/2022,12:25:15,0.102
06/17/2022,12:25:16,0.093
06/17/2022,12:25:17,0.094
06/17/2022,12:25:18,0.092
06/17/2022,12:25:19,0.081
06/17/2022,12:25:20,0.097
06/17/2022,12:25:21,0.087
06/17/2022,12:25:22,0.083
06/17/2022,12:25:23,0.096
06/17/2022,12:25:24,0.093
06/17/2022,12:25:25,0.087
06/17/2022,12:25:26,0.094
06/17/2022,12:25:27,0.098
06/17/2022,12:25:28,0.089
06/17/2022,12:25:29,0.085
06/17/2022,12:25:30,0.102
06/17/2022,12:25:31,0.094
06/17/2022,12:25:32,0.091
06/17/2022,12:25:33,0.091
06/17/2022,12:25:34,0.088
06/17/2022,12:25:35,0.097
06/17/2022,12:25:36,0.094
06/17/2022,12:25:37,0.101
06/17/2022,12:25:38,0.085
06/17/2022,12:25:39,0.089
06/17/2022,12:25:40,0.089
06/17/2022,12:25:41,0.093
06/17/2022,12:25:42,0.091
06/17/2022,12:25:43,0.093
06/17/2022,12:25:44,0.084
06/17/2022,12:25:45,0.091
06/17/2022,12:25:46,0.094
06/17/2022,12:25:47,0.092
06/17/2022,12:25:48,0.084
06/17/2022,12:25:49,0.089
06/17/2022,12:25:50,0.091
06/17/2022,12:25:51,0.091
06/17/2022,12:25:52,0.096
06/17/2022,12:25:53,0.091
06/17/2022,12:25:54,0.094
06/17/2022,12:25:55,0.092
06/17/2022,12:25:56,0.093
06/17/2022,12:25:57,0.090
06/17/2022,12:25:58,0.087
06/17/2022,12:25:59,0.088
06/17/2022,12:26:00,0.093
06/17/2022,12:26:01,0.088
06/17/2022,12:26:02,0.080
06/17/2022,12:26:03,0.096
06/17/2022,12:26:04,0.092
06/17/2022,12:26:05,0.088
06/17/2022,12:26:06,0.102
06/17/2022,12:26:07,0.084
06/17/2022,12:26:08,0.084
06/17/2022,12:26:09,0.086
06/17/2022,12:26:10,0.098
06/17/2022,12:26:11,0.093
06/17/2022,12:26:12,0.094
06/17/2022,12:26:13,0.092
06/17/2022,12:26:14,0.099
06/17/2022,12:26:15,0.094
06/17/2022,12:26:16,0.103
06/17/2022,12:26:17,0.085
06/17/2022,12:26:18,0.092
06/17/2022,12:26:19,0.103
06/17/2022,12:26:20,0.102
06/17/2022,12:26:21,0.091
06/17/2022,12:26:22,0.097
06/17/2022,12:26:23,0.092
06/17/2022,12:26:24,0.094
06/17/2022,12:26:25,0.098
06/17/2022,12:26:26,0.101
06/17/2022,12:26:27,0.097
06/17/2022,12:26:28,0.094
06/17/2022,12:26:29,0.097
06/17/2022,12:26:30,0.094
06/17/2022,12:26:31,0.105
06/17/2022,12:26:32,0.089
06/17/2022,12:26:33,0.090
06/17/2022,12:26:34,0.103
06/17/2022,12:26:35,0.094
06/17/2022,12:26:36,0.096
06/17/2022,12:26:37,0.089
06/17/2022,12:26:38,0.108
06/17/2022,12:26:39,0.088
06/17/2022,12:26:40,0.090
06/17/2022,12:26:41,0.091
06/17/2022,12:26:42,0.080
06/17/2022,12:26:43,0.090
06/17/2022,12:26:44,0.106
06/17/2022,12:26:45,0.094
06/17/2022,12:26:46,0.102
06/17/2022,12:26:47,0.098
06/17/2022,12:26:48,0.084
06/17/2022,12:26:49,0.090
06/17/2022,12:26:50,0.092
06/17/2022,12:26:51,0.116
06/17/2022,12:26:52,0.101
06/17/2022,12:26:53,0.089
06/17/2022,12:26:54,0.090
06/17/2022,12:26:55,0.100
06/17/2022,12:26:56,0.095
06/17/2022,12:26:57,0.082
06/17/2022,12:26:58,0.092
06/17/2022,12:26:59,0.099
06/17/2022,12:27:00,0.084
06/17/2022,12:27:01,0.086
06/17/2022,12:27:02,0.092
