TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 9
Start Date:,06/17/2022
Start Time:,03:47:08
Duration (dd:hh:mm:ss):,00:00:20:57
Log Interval (mm:ss):,00:01
Number of points:,1257
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.073
,Minimum:,0.044
,Time of Minimum:,04:00:59
,Date of Minimum:,06/17/2022
,Maximum:,0.116
,Time of Maximum:,04:04:55
,Date of Maximum:,06/17/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,15:47:09,0.092
06/17/2022,15:47:10,0.081
06/17/2022,15:47:11,0.090
06/17/2022,15:47:12,0.087
06/17/2022,15:47:13,0.090
06/17/2022,15:47:14,0.082
06/17/2022,15:47:15,0.089
06/17/2022,15:47:16,0.093
06/17/2022,15:47:17,0.083
06/17/2022,15:47:18,0.084
06/17/2022,15:47:19,0.080
06/17/2022,15:47:20,0.082
06/17/2022,15:47:21,0.087
06/17/2022,15:47:22,0.078
06/17/2022,15:47:23,0.078
06/17/2022,15:47:24,0.085
06/17/2022,15:47:25,0.080
06/17/2022,15:47:26,0.084
06/17/2022,15:47:27,0.094
06/17/2022,15:47:28,0.086
06/17/2022,15:47:29,0.095
06/17/2022,15:47:30,0.082
06/17/2022,15:47:31,0.088
06/17/2022,15:47:32,0.087
06/17/2022,15:47:33,0.088
06/17/2022,15:47:34,0.079
06/17/2022,15:47:35,0.078
06/17/2022,15:47:36,0.080
06/17/2022,15:47:37,0.084
06/17/2022,15:47:38,0.080
06/17/2022,15:47:39,0.081
06/17/2022,15:47:40,0.090
06/17/2022,15:47:41,0.088
06/17/2022,15:47:42,0.082
06/17/2022,15:47:43,0.094
06/17/2022,15:47:44,0.073
06/17/2022,15:47:45,0.076
06/17/2022,15:47:46,0.085
06/17/2022,15:47:47,0.075
06/17/2022,15:47:48,0.084
06/17/2022,15:47:49,0.078
06/17/2022,15:47:50,0.089
06/17/2022,15:47:51,0.079
06/17/2022,15:47:52,0.080
06/17/2022,15:47:53,0.095
06/17/2022,15:47:54,0.077
06/17/2022,15:47:55,0.089
06/17/2022,15:47:56,0.089
06/17/2022,15:47:57,0.086
06/17/2022,15:47:58,0.085
06/17/2022,15:47:59,0.084
06/17/2022,15:48:00,0.082
06/17/2022,15:48:01,0.086
06/17/2022,15:48:02,0.087
06/17/2022,15:48:03,0.088
06/17/2022,15:48:04,0.089
06/17/2022,15:48:05,0.077
06/17/2022,15:48:06,0.081
06/17/2022,15:48:07,0.092
06/17/2022,15:48:08,0.085
06/17/2022,15:48:09,0.083
06/17/2022,15:48:10,0.090
06/17/2022,15:48:11,0.087
06/17/2022,15:48:12,0.091
06/17/2022,15:48:13,0.082
06/17/2022,15:48:14,0.082
06/17/2022,15:48:15,0.081
06/17/2022,15:48:16,0.080
06/17/2022,15:48:17,0.089
06/17/2022,15:48:18,0.090
06/17/2022,15:48:19,0.092
06/17/2022,15:48:20,0.087
06/17/2022,15:48:21,0.089
06/17/2022,15:48:22,0.081
06/17/2022,15:48:23,0.078
06/17/2022,15:48:24,0.084
06/17/2022,15:48:25,0.079
06/17/2022,15:48:26,0.076
06/17/2022,15:48:27,0.088
06/17/2022,15:48:28,0.084
06/17/2022,15:48:29,0.083
06/17/2022,15:48:30,0.078
06/17/2022,15:48:31,0.091
06/17/2022,15:48:32,0.086
06/17/2022,15:48:33,0.086
06/17/2022,15:48:34,0.092
06/17/2022,15:48:35,0.086
06/17/2022,15:48:36,0.094
06/17/2022,15:48:37,0.089
06/17/2022,15:48:38,0.084
06/17/2022,15:48:39,0.086
06/17/2022,15:48:40,0.081
06/17/2022,15:48:41,0.083
06/17/2022,15:48:42,0.080
06/17/2022,15:48:43,0.079
06/17/2022,15:48:44,0.086
06/17/2022,15:48:45,0.089
06/17/2022,15:48:46,0.081
06/17/2022,15:48:47,0.076
06/17/2022,15:48:48,0.081
06/17/2022,15:48:49,0.096
06/17/2022,15:48:50,0.087
06/17/2022,15:48:51,0.076
06/17/2022,15:48:52,0.085
06/17/2022,15:48:53,0.087
06/17/2022,15:48:54,0.088
06/17/2022,15:48:55,0.078
06/17/2022,15:48:56,0.078
06/17/2022,15:48:57,0.085
06/17/2022,15:48:58,0.078
06/17/2022,15:48:59,0.082
06/17/2022,15:49:00,0.091
06/17/2022,15:49:01,0.086
06/17/2022,15:49:02,0.079
06/17/2022,15:49:03,0.085
06/17/2022,15:49:04,0.091
06/17/2022,15:49:05,0.084
06/17/2022,15:49:06,0.086
06/17/2022,15:49:07,0.086
06/17/2022,15:49:08,0.080
06/17/2022,15:49:09,0.081
06/17/2022,15:49:10,0.096
06/17/2022,15:49:11,0.082
06/17/2022,15:49:12,0.084
06/17/2022,15:49:13,0.079
06/17/2022,15:49:14,0.089
06/17/2022,15:49:15,0.088
06/17/2022,15:49:16,0.086
06/17/2022,15:49:17,0.084
06/17/2022,15:49:18,0.090
06/17/2022,15:49:19,0.085
06/17/2022,15:49:20,0.078
06/17/2022,15:49:21,0.091
06/17/2022,15:49:22,0.080
06/17/2022,15:49:23,0.091
06/17/2022,15:49:24,0.081
06/17/2022,15:49:25,0.085
06/17/2022,15:49:26,0.088
06/17/2022,15:49:27,0.086
06/17/2022,15:49:28,0.096
06/17/2022,15:49:29,0.085
06/17/2022,15:49:30,0.086
06/17/2022,15:49:31,0.084
06/17/2022,15:49:32,0.081
06/17/2022,15:49:33,0.083
06/17/2022,15:49:34,0.089
06/17/2022,15:49:35,0.078
06/17/2022,15:49:36,0.088
06/17/2022,15:49:37,0.096
06/17/2022,15:49:38,0.083
06/17/2022,15:49:39,0.079
06/17/2022,15:49:40,0.081
06/17/2022,15:49:41,0.092
06/17/2022,15:49:42,0.079
06/17/2022,15:49:43,0.087
06/17/2022,15:49:44,0.083
06/17/2022,15:49:45,0.075
06/17/2022,15:49:46,0.086
06/17/2022,15:49:47,0.097
06/17/2022,15:49:48,0.086
06/17/2022,15:49:49,0.084
06/17/2022,15:49:50,0.094
06/17/2022,15:49:51,0.091
06/17/2022,15:49:52,0.085
06/17/2022,15:49:53,0.082
06/17/2022,15:49:54,0.079
06/17/2022,15:49:55,0.082
06/17/2022,15:49:56,0.090
06/17/2022,15:49:57,0.093
06/17/2022,15:49:58,0.090
06/17/2022,15:49:59,0.087
06/17/2022,15:50:00,0.083
06/17/2022,15:50:01,0.098
06/17/2022,15:50:02,0.092
06/17/2022,15:50:03,0.087
06/17/2022,15:50:04,0.097
06/17/2022,15:50:05,0.085
06/17/2022,15:50:06,0.087
06/17/2022,15:50:07,0.086
06/17/2022,15:50:08,0.089
06/17/2022,15:50:09,0.085
06/17/2022,15:50:10,0.086
06/17/2022,15:50:11,0.077
06/17/2022,15:50:12,0.082
06/17/2022,15:50:13,0.085
06/17/2022,15:50:14,0.081
06/17/2022,15:50:15,0.085
06/17/2022,15:50:16,0.083
06/17/2022,15:50:17,0.099
06/17/2022,15:50:18,0.086
06/17/2022,15:50:19,0.084
06/17/2022,15:50:20,0.081
06/17/2022,15:50:21,0.089
06/17/2022,15:50:22,0.081
06/17/2022,15:50:23,0.089
06/17/2022,15:50:24,0.084
06/17/2022,15:50:25,0.086
06/17/2022,15:50:26,0.087
06/17/2022,15:50:27,0.080
06/17/2022,15:50:28,0.086
06/17/2022,15:50:29,0.088
06/17/2022,15:50:30,0.090
06/17/2022,15:50:31,0.092
06/17/2022,15:50:32,0.088
06/17/2022,15:50:33,0.085
06/17/2022,15:50:34,0.097
06/17/2022,15:50:35,0.086
06/17/2022,15:50:36,0.082
06/17/2022,15:50:37,0.077
06/17/2022,15:50:38,0.084
06/17/2022,15:50:39,0.079
06/17/2022,15:50:40,0.089
06/17/2022,15:50:41,0.089
06/17/2022,15:50:42,0.084
06/17/2022,15:50:43,0.089
06/17/2022,15:50:44,0.081
06/17/2022,15:50:45,0.091
06/17/2022,15:50:46,0.089
06/17/2022,15:50:47,0.083
06/17/2022,15:50:48,0.085
06/17/2022,15:50:49,0.091
06/17/2022,15:50:50,0.079
06/17/2022,15:50:51,0.080
06/17/2022,15:50:52,0.081
06/17/2022,15:50:53,0.086
06/17/2022,15:50:54,0.091
06/17/2022,15:50:55,0.079
06/17/2022,15:50:56,0.080
06/17/2022,15:50:57,0.075
06/17/2022,15:50:58,0.088
06/17/2022,15:50:59,0.083
06/17/2022,15:51:00,0.087
06/17/2022,15:51:01,0.087
06/17/2022,15:51:02,0.092
06/17/2022,15:51:03,0.081
06/17/2022,15:51:04,0.084
06/17/2022,15:51:05,0.072
06/17/2022,15:51:06,0.080
06/17/2022,15:51:07,0.084
06/17/2022,15:51:08,0.083
06/17/2022,15:51:09,0.079
06/17/2022,15:51:10,0.084
06/17/2022,15:51:11,0.076
06/17/2022,15:51:12,0.089
06/17/2022,15:51:13,0.083
06/17/2022,15:51:14,0.088
06/17/2022,15:51:15,0.083
