TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 8
Start Date:,06/17/2022
Start Time:,01:28:38
Duration (dd:hh:mm:ss):,00:00:21:28
Log Interval (mm:ss):,00:01
Number of points:,1288
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.084
,Minimum:,0.062
,Time of Minimum:,01:31:29
,Date of Minimum:,06/17/2022
,Maximum:,0.120
,Time of Maximum:,01:49:12
,Date of Maximum:,06/17/2022

,TWA:,0.004

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,13:28:39,0.107
06/17/2022,13:28:40,0.099
06/17/2022,13:28:41,0.099
06/17/2022,13:28:42,0.119
06/17/2022,13:28:43,0.082
06/17/2022,13:28:44,0.101
06/17/2022,13:28:45,0.091
06/17/2022,13:28:46,0.087
06/17/2022,13:28:47,0.098
06/17/2022,13:28:48,0.096
06/17/2022,13:28:49,0.089
06/17/2022,13:28:50,0.097
06/17/2022,13:28:51,0.089
06/17/2022,13:28:52,0.099
06/17/2022,13:28:53,0.097
06/17/2022,13:28:54,0.098
06/17/2022,13:28:55,0.086
06/17/2022,13:28:56,0.092
06/17/2022,13:28:57,0.096
06/17/2022,13:28:58,0.091
06/17/2022,13:28:59,0.090
06/17/2022,13:29:00,0.091
06/17/2022,13:29:01,0.091
06/17/2022,13:29:02,0.096
06/17/2022,13:29:03,0.088
06/17/2022,13:29:04,0.086
06/17/2022,13:29:05,0.093
06/17/2022,13:29:06,0.092
06/17/2022,13:29:07,0.100
06/17/2022,13:29:08,0.093
06/17/2022,13:29:09,0.093
06/17/2022,13:29:10,0.089
06/17/2022,13:29:11,0.087
06/17/2022,13:29:12,0.092
06/17/2022,13:29:13,0.087
06/17/2022,13:29:14,0.092
06/17/2022,13:29:15,0.094
06/17/2022,13:29:16,0.094
06/17/2022,13:29:17,0.106
06/17/2022,13:29:18,0.095
06/17/2022,13:29:19,0.079
06/17/2022,13:29:20,0.091
06/17/2022,13:29:21,0.092
06/17/2022,13:29:22,0.086
06/17/2022,13:29:23,0.086
06/17/2022,13:29:24,0.095
06/17/2022,13:29:25,0.093
06/17/2022,13:29:26,0.105
06/17/2022,13:29:27,0.091
06/17/2022,13:29:28,0.079
06/17/2022,13:29:29,0.084
06/17/2022,13:29:30,0.097
06/17/2022,13:29:31,0.089
06/17/2022,13:29:32,0.094
06/17/2022,13:29:33,0.090
06/17/2022,13:29:34,0.087
06/17/2022,13:29:35,0.097
06/17/2022,13:29:36,0.096
06/17/2022,13:29:37,0.106
06/17/2022,13:29:38,0.112
06/17/2022,13:29:39,0.097
06/17/2022,13:29:40,0.096
06/17/2022,13:29:41,0.085
06/17/2022,13:29:42,0.086
06/17/2022,13:29:43,0.088
06/17/2022,13:29:44,0.089
06/17/2022,13:29:45,0.095
06/17/2022,13:29:46,0.084
06/17/2022,13:29:47,0.099
06/17/2022,13:29:48,0.093
06/17/2022,13:29:49,0.102
06/17/2022,13:29:50,0.090
06/17/2022,13:29:51,0.082
06/17/2022,13:29:52,0.085
06/17/2022,13:29:53,0.089
06/17/2022,13:29:54,0.087
06/17/2022,13:29:55,0.086
06/17/2022,13:29:56,0.092
06/17/2022,13:29:57,0.100
06/17/2022,13:29:58,0.079
06/17/2022,13:29:59,0.087
06/17/2022,13:30:00,0.086
06/17/2022,13:30:01,0.088
06/17/2022,13:30:02,0.090
