TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 5
Start Date:,06/18/2022
Start Time:,05:39:49
Duration (dd:hh:mm:ss):,00:00:35:53
Log Interval (mm:ss):,00:01
Number of points:,2153
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.081
,Minimum:,0.065
,Time of Minimum:,06:08:59
,Date of Minimum:,06/18/2022
,Maximum:,0.133
,Time of Maximum:,06:14:35
,Date of Maximum:,06/18/2022

,TWA:,0.006

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/18/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/18/2022,17:39:50,0.086
06/18/2022,17:39:51,0.088
06/18/2022,17:39:52,0.096
06/18/2022,17:39:53,0.094
06/18/2022,17:39:54,0.091
06/18/2022,17:39:55,0.088
06/18/2022,17:39:56,0.082
06/18/2022,17:39:57,0.085
06/18/2022,17:39:58,0.088
06/18/2022,17:39:59,0.090
06/18/2022,17:40:00,0.081
06/18/2022,17:40:01,0.088
06/18/2022,17:40:02,0.084
06/18/2022,17:40:03,0.082
06/18/2022,17:40:04,0.091
06/18/2022,17:40:05,0.088
06/18/2022,17:40:06,0.086
06/18/2022,17:40:07,0.088
06/18/2022,17:40:08,0.079
06/18/2022,17:40:09,0.082
06/18/2022,17:40:10,0.083
06/18/2022,17:40:11,0.089
06/18/2022,17:40:12,0.091
06/18/2022,17:40:13,0.080
06/18/2022,17:40:14,0.087
06/18/2022,17:40:15,0.091
06/18/2022,17:40:16,0.080
06/18/2022,17:40:17,0.085
06/18/2022,17:40:18,0.091
06/18/2022,17:40:19,0.098
06/18/2022,17:40:20,0.082
06/18/2022,17:40:21,0.085
06/18/2022,17:40:22,0.085
06/18/2022,17:40:23,0.086
06/18/2022,17:40:24,0.083
06/18/2022,17:40:25,0.099
06/18/2022,17:40:26,0.088
06/18/2022,17:40:27,0.088
06/18/2022,17:40:28,0.088
06/18/2022,17:40:29,0.082
06/18/2022,17:40:30,0.082
06/18/2022,17:40:31,0.081
06/18/2022,17:40:32,0.082
06/18/2022,17:40:33,0.081
06/18/2022,17:40:34,0.084
06/18/2022,17:40:35,0.079
06/18/2022,17:40:36,0.077
06/18/2022,17:40:37,0.082
06/18/2022,17:40:38,0.079
06/18/2022,17:40:39,0.077
06/18/2022,17:40:40,0.077
06/18/2022,17:40:41,0.078
06/18/2022,17:40:42,0.084
06/18/2022,17:40:43,0.077
06/18/2022,17:40:44,0.073
