TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 7
Start Date:,06/18/2022
Start Time:,06:54:25
Duration (dd:hh:mm:ss):,00:00:23:54
Log Interval (mm:ss):,00:01
Number of points:,1434
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.080
,Minimum:,0.064
,Time of Minimum:,07:10:59
,Date of Minimum:,06/18/2022
,Maximum:,0.251
,Time of Maximum:,07:17:45
,Date of Maximum:,06/18/2022

,TWA:,0.004

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/18/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/18/2022,18:54:26,0.078
06/18/2022,18:54:27,0.090
06/18/2022,18:54:28,0.090
06/18/2022,18:54:29,0.078
06/18/2022,18:54:30,0.090
06/18/2022,18:54:31,0.093
06/18/2022,18:54:32,0.084
06/18/2022,18:54:33,0.083
06/18/2022,18:54:34,0.094
06/18/2022,18:54:35,0.079
06/18/2022,18:54:36,0.075
06/18/2022,18:54:37,0.080
06/18/2022,18:54:38,0.079
06/18/2022,18:54:39,0.080
06/18/2022,18:54:40,0.080
06/18/2022,18:54:41,0.077
06/18/2022,18:54:42,0.080
06/18/2022,18:54:43,0.080
06/18/2022,18:54:44,0.076
06/18/2022,18:54:45,0.092
06/18/2022,18:54:46,0.077
06/18/2022,18:54:47,0.080
06/18/2022,18:54:48,0.078
06/18/2022,18:54:49,0.086
06/18/2022,18:54:50,0.075
06/18/2022,18:54:51,0.081
06/18/2022,18:54:52,0.079
06/18/2022,18:54:53,0.084
06/18/2022,18:54:54,0.085
06/18/2022,18:54:55,0.089
06/18/2022,18:54:56,0.093
06/18/2022,18:54:57,0.083
06/18/2022,18:54:58,0.077
06/18/2022,18:54:59,0.079
06/18/2022,18:55:00,0.091
06/18/2022,18:55:01,0.075
06/18/2022,18:55:02,0.080
06/18/2022,18:55:03,0.083
06/18/2022,18:55:04,0.084
06/18/2022,18:55:05,0.082
06/18/2022,18:55:06,0.083
06/18/2022,18:55:07,0.075
06/18/2022,18:55:08,0.075
06/18/2022,18:55:09,0.075
06/18/2022,18:55:10,0.077
06/18/2022,18:55:11,0.079
06/18/2022,18:55:12,0.075
06/18/2022,18:55:13,0.084
06/18/2022,18:55:14,0.077
06/18/2022,18:55:15,0.079
06/18/2022,18:55:16,0.081
06/18/2022,18:55:17,0.088
06/18/2022,18:55:18,0.081
06/18/2022,18:55:19,0.079
06/18/2022,18:55:20,0.081
06/18/2022,18:55:21,0.085
06/18/2022,18:55:22,0.076
06/18/2022,18:55:23,0.076
06/18/2022,18:55:24,0.112
06/18/2022,18:55:25,0.079
06/18/2022,18:55:26,0.076
06/18/2022,18:55:27,0.073
06/18/2022,18:55:28,0.087
06/18/2022,18:55:29,0.075
06/18/2022,18:55:30,0.080
06/18/2022,18:55:31,0.078
06/18/2022,18:55:32,0.077
06/18/2022,18:55:33,0.085
06/18/2022,18:55:34,0.067
06/18/2022,18:55:35,0.089
06/18/2022,18:55:36,0.075
06/18/2022,18:55:37,0.079
06/18/2022,18:55:38,0.088
06/18/2022,18:55:39,0.078
06/18/2022,18:55:40,0.080
06/18/2022,18:55:41,0.080
06/18/2022,18:55:42,0.084
06/18/2022,18:55:43,0.090
06/18/2022,18:55:44,0.076
06/18/2022,18:55:45,0.077
06/18/2022,18:55:46,0.072
06/18/2022,18:55:47,0.086
06/18/2022,18:55:48,0.091
06/18/2022,18:55:49,0.080
06/18/2022,18:55:50,0.083
06/18/2022,18:55:51,0.086
06/18/2022,18:55:52,0.077
06/18/2022,18:55:53,0.076
06/18/2022,18:55:54,0.081
06/18/2022,18:55:55,0.090
06/18/2022,18:55:56,0.066
06/18/2022,18:55:57,0.070
06/18/2022,18:55:58,0.075
06/18/2022,18:55:59,0.073
06/18/2022,18:56:00,0.082
06/18/2022,18:56:01,0.077
06/18/2022,18:56:02,0.075
06/18/2022,18:56:03,0.073
06/18/2022,18:56:04,0.080
06/18/2022,18:56:05,0.068
06/18/2022,18:56:06,0.072
06/18/2022,18:56:07,0.076
06/18/2022,18:56:08,0.077
06/18/2022,18:56:09,0.088
06/18/2022,18:56:10,0.076
06/18/2022,18:56:11,0.078
06/18/2022,18:56:12,0.082
06/18/2022,18:56:13,0.083
06/18/2022,18:56:14,0.082
06/18/2022,18:56:15,0.085
06/18/2022,18:56:16,0.076
06/18/2022,18:56:17,0.069
06/18/2022,18:56:18,0.075
06/18/2022,18:56:19,0.085
06/18/2022,18:56:20,0.087
06/18/2022,18:56:21,0.089
06/18/2022,18:56:22,0.090
06/18/2022,18:56:23,0.084
06/18/2022,18:56:24,0.080
06/18/2022,18:56:25,0.074
06/18/2022,18:56:26,0.073
06/18/2022,18:56:27,0.082
06/18/2022,18:56:28,0.085
06/18/2022,18:56:29,0.080
06/18/2022,18:56:30,0.082
06/18/2022,18:56:31,0.075
06/18/2022,18:56:32,0.071
06/18/2022,18:56:33,0.084
06/18/2022,18:56:34,0.081
06/18/2022,18:56:35,0.081
06/18/2022,18:56:36,0.076
06/18/2022,18:56:37,0.092
06/18/2022,18:56:38,0.089
06/18/2022,18:56:39,0.097
06/18/2022,18:56:40,0.094
06/18/2022,18:56:41,0.082
06/18/2022,18:56:42,0.082
06/18/2022,18:56:43,0.086
06/18/2022,18:56:44,0.091
06/18/2022,18:56:45,0.084
06/18/2022,18:56:46,0.078
06/18/2022,18:56:47,0.090
06/18/2022,18:56:48,0.079
06/18/2022,18:56:49,0.082
06/18/2022,18:56:50,0.090
06/18/2022,18:56:51,0.087
06/18/2022,18:56:52,0.091
06/18/2022,18:56:53,0.083
06/18/2022,18:56:54,0.081
06/18/2022,18:56:55,0.078
06/18/2022,18:56:56,0.076
06/18/2022,18:56:57,0.071
06/18/2022,18:56:58,0.081
06/18/2022,18:56:59,0.074
06/18/2022,18:57:00,0.081
06/18/2022,18:57:01,0.078
06/18/2022,18:57:02,0.085
06/18/2022,18:57:03,0.086
06/18/2022,18:57:04,0.085
06/18/2022,18:57:05,0.076
06/18/2022,18:57:06,0.072
06/18/2022,18:57:07,0.084
06/18/2022,18:57:08,0.082
06/18/2022,18:57:09,0.084
06/18/2022,18:57:10,0.082
06/18/2022,18:57:11,0.074
06/18/2022,18:57:12,0.081
06/18/2022,18:57:13,0.093
06/18/2022,18:57:14,0.080
06/18/2022,18:57:15,0.078
06/18/2022,18:57:16,0.088
06/18/2022,18:57:17,0.084
06/18/2022,18:57:18,0.083
06/18/2022,18:57:19,0.081
06/18/2022,18:57:20,0.083
06/18/2022,18:57:21,0.069
06/18/2022,18:57:22,0.078
06/18/2022,18:57:23,0.084
06/18/2022,18:57:24,0.078
06/18/2022,18:57:25,0.079
06/18/2022,18:57:26,0.082
06/18/2022,18:57:27,0.079
06/18/2022,18:57:28,0.087
06/18/2022,18:57:29,0.084
06/18/2022,18:57:30,0.100
06/18/2022,18:57:31,0.086
06/18/2022,18:57:32,0.077
06/18/2022,18:57:33,0.083
06/18/2022,18:57:34,0.078
06/18/2022,18:57:35,0.083
06/18/2022,18:57:36,0.088
06/18/2022,18:57:37,0.102
06/18/2022,18:57:38,0.108
06/18/2022,18:57:39,0.083
06/18/2022,18:57:40,0.089
06/18/2022,18:57:41,0.092
06/18/2022,18:57:42,0.086
06/18/2022,18:57:43,0.079
06/18/2022,18:57:44,0.083
06/18/2022,18:57:45,0.084
06/18/2022,18:57:46,0.082
06/18/2022,18:57:47,0.084
06/18/2022,18:57:48,0.080
06/18/2022,18:57:49,0.076
06/18/2022,18:57:50,0.069
06/18/2022,18:57:51,0.072
06/18/2022,18:57:52,0.079
