TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 4
Start Date:,06/18/2022
Start Time:,03:28:32
Duration (dd:hh:mm:ss):,00:00:23:22
Log Interval (mm:ss):,00:01
Number of points:,1402
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.073
,Minimum:,0.057
,Time of Minimum:,03:49:34
,Date of Minimum:,06/18/2022
,Maximum:,0.120
,Time of Maximum:,03:33:21
,Date of Maximum:,06/18/2022

,TWA:,0.004

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/18/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/18/2022,15:28:33,0.076
06/18/2022,15:28:34,0.077
06/18/2022,15:28:35,0.073
06/18/2022,15:28:36,0.078
06/18/2022,15:28:37,0.080
06/18/2022,15:28:38,0.068
06/18/2022,15:28:39,0.080
06/18/2022,15:28:40,0.079
06/18/2022,15:28:41,0.075
06/18/2022,15:28:42,0.079
06/18/2022,15:28:43,0.077
06/18/2022,15:28:44,0.075
06/18/2022,15:28:45,0.073
06/18/2022,15:28:46,0.071
06/18/2022,15:28:47,0.077
06/18/2022,15:28:48,0.071
06/18/2022,15:28:49,0.083
06/18/2022,15:28:50,0.067
06/18/2022,15:28:51,0.079
06/18/2022,15:28:52,0.078
06/18/2022,15:28:53,0.074
06/18/2022,15:28:54,0.071
06/18/2022,15:28:55,0.072
06/18/2022,15:28:56,0.077
06/18/2022,15:28:57,0.077
06/18/2022,15:28:58,0.091
06/18/2022,15:28:59,0.074
06/18/2022,15:29:00,0.076
06/18/2022,15:29:01,0.078
06/18/2022,15:29:02,0.071
06/18/2022,15:29:03,0.069
06/18/2022,15:29:04,0.070
06/18/2022,15:29:05,0.085
06/18/2022,15:29:06,0.080
06/18/2022,15:29:07,0.079
06/18/2022,15:29:08,0.073
06/18/2022,15:29:09,0.075
06/18/2022,15:29:10,0.093
06/18/2022,15:29:11,0.103
06/18/2022,15:29:12,0.076
06/18/2022,15:29:13,0.086
06/18/2022,15:29:14,0.075
06/18/2022,15:29:15,0.086
06/18/2022,15:29:16,0.074
06/18/2022,15:29:17,0.078
06/18/2022,15:29:18,0.080
06/18/2022,15:29:19,0.070
06/18/2022,15:29:20,0.079
06/18/2022,15:29:21,0.081
06/18/2022,15:29:22,0.072
06/18/2022,15:29:23,0.078
06/18/2022,15:29:24,0.078
06/18/2022,15:29:25,0.079
06/18/2022,15:29:26,0.090
06/18/2022,15:29:27,0.087
06/18/2022,15:29:28,0.082
06/18/2022,15:29:29,0.071
06/18/2022,15:29:30,0.081
06/18/2022,15:29:31,0.079
06/18/2022,15:29:32,0.084
06/18/2022,15:29:33,0.080
06/18/2022,15:29:34,0.080
06/18/2022,15:29:35,0.085
06/18/2022,15:29:36,0.073
06/18/2022,15:29:37,0.084
06/18/2022,15:29:38,0.081
06/18/2022,15:29:39,0.077
06/18/2022,15:29:40,0.074
06/18/2022,15:29:41,0.075
06/18/2022,15:29:42,0.074
06/18/2022,15:29:43,0.079
06/18/2022,15:29:44,0.073
06/18/2022,15:29:45,0.076
06/18/2022,15:29:46,0.073
06/18/2022,15:29:47,0.078
06/18/2022,15:29:48,0.071
06/18/2022,15:29:49,0.075
06/18/2022,15:29:50,0.075
06/18/2022,15:29:51,0.073
06/18/2022,15:29:52,0.072
06/18/2022,15:29:53,0.070
06/18/2022,15:29:54,0.075
06/18/2022,15:29:55,0.083
06/18/2022,15:29:56,0.074
06/18/2022,15:29:57,0.073
06/18/2022,15:29:58,0.073
06/18/2022,15:29:59,0.077
06/18/2022,15:30:00,0.074
06/18/2022,15:30:01,0.074
06/18/2022,15:30:02,0.076
06/18/2022,15:30:03,0.072
06/18/2022,15:30:04,0.077
06/18/2022,15:30:05,0.076
06/18/2022,15:30:06,0.087
06/18/2022,15:30:07,0.074
06/18/2022,15:30:08,0.074
06/18/2022,15:30:09,0.079
06/18/2022,15:30:10,0.078
06/18/2022,15:30:11,0.070
06/18/2022,15:30:12,0.080
06/18/2022,15:30:13,0.070
06/18/2022,15:30:14,0.073
06/18/2022,15:30:15,0.081
06/18/2022,15:30:16,0.070
06/18/2022,15:30:17,0.074
06/18/2022,15:30:18,0.079
06/18/2022,15:30:19,0.074
06/18/2022,15:30:20,0.080
06/18/2022,15:30:21,0.078
06/18/2022,15:30:22,0.072
06/18/2022,15:30:23,0.070
06/18/2022,15:30:24,0.070
06/18/2022,15:30:25,0.078
06/18/2022,15:30:26,0.070
06/18/2022,15:30:27,0.066
06/18/2022,15:30:28,0.076
06/18/2022,15:30:29,0.087
06/18/2022,15:30:30,0.084
06/18/2022,15:30:31,0.075
06/18/2022,15:30:32,0.074
06/18/2022,15:30:33,0.077
06/18/2022,15:30:34,0.072
06/18/2022,15:30:35,0.091
06/18/2022,15:30:36,0.079
06/18/2022,15:30:37,0.071
06/18/2022,15:30:38,0.075
06/18/2022,15:30:39,0.090
06/18/2022,15:30:40,0.072
06/18/2022,15:30:41,0.076
06/18/2022,15:30:42,0.083
06/18/2022,15:30:43,0.076
06/18/2022,15:30:44,0.078
06/18/2022,15:30:45,0.080
06/18/2022,15:30:46,0.079
06/18/2022,15:30:47,0.078
06/18/2022,15:30:48,0.082
06/18/2022,15:30:49,0.084
06/18/2022,15:30:50,0.073
06/18/2022,15:30:51,0.079
06/18/2022,15:30:52,0.080
06/18/2022,15:30:53,0.077
06/18/2022,15:30:54,0.070
06/18/2022,15:30:55,0.071
06/18/2022,15:30:56,0.074
06/18/2022,15:30:57,0.067
06/18/2022,15:30:58,0.078
06/18/2022,15:30:59,0.079
06/18/2022,15:31:00,0.075
06/18/2022,15:31:01,0.068
06/18/2022,15:31:02,0.075
06/18/2022,15:31:03,0.071
06/18/2022,15:31:04,0.069
06/18/2022,15:31:05,0.077
06/18/2022,15:31:06,0.077
06/18/2022,15:31:07,0.071
06/18/2022,15:31:08,0.072
06/18/2022,15:31:09,0.075
06/18/2022,15:31:10,0.083
06/18/2022,15:31:11,0.071
06/18/2022,15:31:12,0.076
06/18/2022,15:31:13,0.071
06/18/2022,15:31:14,0.074
06/18/2022,15:31:15,0.068
06/18/2022,15:31:16,0.067
06/18/2022,15:31:17,0.076
06/18/2022,15:31:18,0.071
06/18/2022,15:31:19,0.089
06/18/2022,15:31:20,0.075
06/18/2022,15:31:21,0.084
06/18/2022,15:31:22,0.075
06/18/2022,15:31:23,0.082
06/18/2022,15:31:24,0.079
06/18/2022,15:31:25,0.072
06/18/2022,15:31:26,0.074
06/18/2022,15:31:27,0.077
06/18/2022,15:31:28,0.078
06/18/2022,15:31:29,0.082
06/18/2022,15:31:30,0.080
06/18/2022,15:31:31,0.084
06/18/2022,15:31:32,0.082
06/18/2022,15:31:33,0.081
06/18/2022,15:31:34,0.079
06/18/2022,15:31:35,0.075
06/18/2022,15:31:36,0.084
06/18/2022,15:31:37,0.083
06/18/2022,15:31:38,0.088
06/18/2022,15:31:39,0.092
06/18/2022,15:31:40,0.083
06/18/2022,15:31:41,0.077
06/18/2022,15:31:42,0.083
06/18/2022,15:31:43,0.078
06/18/2022,15:31:44,0.080
06/18/2022,15:31:45,0.074
06/18/2022,15:31:46,0.074
06/18/2022,15:31:47,0.074
06/18/2022,15:31:48,0.078
06/18/2022,15:31:49,0.080
06/18/2022,15:31:50,0.080
06/18/2022,15:31:51,0.074
06/18/2022,15:31:52,0.075
06/18/2022,15:31:53,0.085
06/18/2022,15:31:54,0.074
06/18/2022,15:31:55,0.070
06/18/2022,15:31:56,0.075
06/18/2022,15:31:57,0.072
06/18/2022,15:31:58,0.085
06/18/2022,15:31:59,0.071
06/18/2022,15:32:00,0.075
06/18/2022,15:32:01,0.091
06/18/2022,15:32:02,0.081
06/18/2022,15:32:03,0.086
06/18/2022,15:32:04,0.084
06/18/2022,15:32:05,0.077
06/18/2022,15:32:06,0.078
06/18/2022,15:32:07,0.113
06/18/2022,15:32:08,0.082
06/18/2022,15:32:09,0.094
06/18/2022,15:32:10,0.077
06/18/2022,15:32:11,0.078
06/18/2022,15:32:12,0.070
06/18/2022,15:32:13,0.075
06/18/2022,15:32:14,0.075
06/18/2022,15:32:15,0.074
06/18/2022,15:32:16,0.078
06/18/2022,15:32:17,0.071
06/18/2022,15:32:18,0.073
06/18/2022,15:32:19,0.078
06/18/2022,15:32:20,0.079
06/18/2022,15:32:21,0.079
06/18/2022,15:32:22,0.070
06/18/2022,15:32:23,0.082
06/18/2022,15:32:24,0.088
06/18/2022,15:32:25,0.080
06/18/2022,15:32:26,0.071
06/18/2022,15:32:27,0.079
06/18/2022,15:32:28,0.080
06/18/2022,15:32:29,0.083
06/18/2022,15:32:30,0.083
06/18/2022,15:32:31,0.081
06/18/2022,15:32:32,0.084
06/18/2022,15:32:33,0.080
06/18/2022,15:32:34,0.082
06/18/2022,15:32:35,0.078
06/18/2022,15:32:36,0.083
06/18/2022,15:32:37,0.074
06/18/2022,15:32:38,0.078
06/18/2022,15:32:39,0.069
