TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 3
Start Date:,06/18/2022
Start Time:,03:17:26
Duration (dd:hh:mm:ss):,00:00:10:40
Log Interval (mm:ss):,00:01
Number of points:,640
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.079
,Minimum:,0.061
,Time of Minimum:,03:27:01
,Date of Minimum:,06/18/2022
,Maximum:,0.309
,Time of Maximum:,03:17:38
,Date of Maximum:,06/18/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/18/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/18/2022,15:17:27,0.091
06/18/2022,15:17:28,0.079
06/18/2022,15:17:29,0.081
06/18/2022,15:17:30,0.082
06/18/2022,15:17:31,0.091
06/18/2022,15:17:32,0.082
06/18/2022,15:17:33,0.130
06/18/2022,15:17:34,0.132
06/18/2022,15:17:35,0.151
06/18/2022,15:17:36,0.238
06/18/2022,15:17:37,0.266
06/18/2022,15:17:38,0.309
06/18/2022,15:17:39,0.211
06/18/2022,15:17:40,0.219
06/18/2022,15:17:41,0.217
06/18/2022,15:17:42,0.157
06/18/2022,15:17:43,0.092
06/18/2022,15:17:44,0.089
06/18/2022,15:17:45,0.090
06/18/2022,15:17:46,0.109
06/18/2022,15:17:47,0.096
06/18/2022,15:17:48,0.090
06/18/2022,15:17:49,0.081
06/18/2022,15:17:50,0.098
06/18/2022,15:17:51,0.078
06/18/2022,15:17:52,0.077
06/18/2022,15:17:53,0.078
06/18/2022,15:17:54,0.087
06/18/2022,15:17:55,0.073
06/18/2022,15:17:56,0.080
06/18/2022,15:17:57,0.079
06/18/2022,15:17:58,0.081
06/18/2022,15:17:59,0.074
06/18/2022,15:18:00,0.084
06/18/2022,15:18:01,0.083
06/18/2022,15:18:02,0.084
06/18/2022,15:18:03,0.070
06/18/2022,15:18:04,0.076
06/18/2022,15:18:05,0.073
06/18/2022,15:18:06,0.075
06/18/2022,15:18:07,0.073
06/18/2022,15:18:08,0.103
06/18/2022,15:18:09,0.083
06/18/2022,15:18:10,0.074
06/18/2022,15:18:11,0.082
06/18/2022,15:18:12,0.077
06/18/2022,15:18:13,0.082
06/18/2022,15:18:14,0.081
06/18/2022,15:18:15,0.074
06/18/2022,15:18:16,0.086
06/18/2022,15:18:17,0.074
06/18/2022,15:18:18,0.069
06/18/2022,15:18:19,0.066
06/18/2022,15:18:20,0.077
06/18/2022,15:18:21,0.075
06/18/2022,15:18:22,0.071
06/18/2022,15:18:23,0.074
06/18/2022,15:18:24,0.079
06/18/2022,15:18:25,0.077
06/18/2022,15:18:26,0.085
06/18/2022,15:18:27,0.077
06/18/2022,15:18:28,0.096
06/18/2022,15:18:29,0.084
06/18/2022,15:18:30,0.084
06/18/2022,15:18:31,0.083
06/18/2022,15:18:32,0.081
06/18/2022,15:18:33,0.071
06/18/2022,15:18:34,0.074
06/18/2022,15:18:35,0.074
06/18/2022,15:18:36,0.085
06/18/2022,15:18:37,0.075
06/18/2022,15:18:38,0.079
06/18/2022,15:18:39,0.080
06/18/2022,15:18:40,0.082
06/18/2022,15:18:41,0.073
06/18/2022,15:18:42,0.079
06/18/2022,15:18:43,0.069
06/18/2022,15:18:44,0.084
06/18/2022,15:18:45,0.088
06/18/2022,15:18:46,0.094
06/18/2022,15:18:47,0.087
06/18/2022,15:18:48,0.077
06/18/2022,15:18:49,0.074
06/18/2022,15:18:50,0.084
