TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 15
Start Date:,06/20/2022
Start Time:,09:08:30
Duration (dd:hh:mm:ss):,00:00:17:57
Log Interval (mm:ss):,00:01
Number of points:,1077
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.097
,Minimum:,0.076
,Time of Minimum:,09:09:54
,Date of Minimum:,06/20/2022
,Maximum:,0.129
,Time of Maximum:,09:21:12
,Date of Maximum:,06/20/2022

,TWA:,0.004

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/20/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/20/2022,09:08:31,0.097
06/20/2022,09:08:32,0.098
06/20/2022,09:08:33,0.107
06/20/2022,09:08:34,0.088
06/20/2022,09:08:35,0.102
06/20/2022,09:08:36,0.116
06/20/2022,09:08:37,0.108
06/20/2022,09:08:38,0.096
06/20/2022,09:08:39,0.112
06/20/2022,09:08:40,0.106
06/20/2022,09:08:41,0.097
06/20/2022,09:08:42,0.100
06/20/2022,09:08:43,0.098
06/20/2022,09:08:44,0.109
06/20/2022,09:08:45,0.121
06/20/2022,09:08:46,0.098
06/20/2022,09:08:47,0.091
06/20/2022,09:08:48,0.098
06/20/2022,09:08:49,0.099
06/20/2022,09:08:50,0.096
06/20/2022,09:08:51,0.101
06/20/2022,09:08:52,0.095
06/20/2022,09:08:53,0.093
06/20/2022,09:08:54,0.109
06/20/2022,09:08:55,0.098
06/20/2022,09:08:56,0.092
06/20/2022,09:08:57,0.097
06/20/2022,09:08:58,0.090
06/20/2022,09:08:59,0.098
06/20/2022,09:09:00,0.098
06/20/2022,09:09:01,0.111
06/20/2022,09:09:02,0.097
06/20/2022,09:09:03,0.102
06/20/2022,09:09:04,0.092
06/20/2022,09:09:05,0.101
06/20/2022,09:09:06,0.095
06/20/2022,09:09:07,0.117
06/20/2022,09:09:08,0.099
06/20/2022,09:09:09,0.090
06/20/2022,09:09:10,0.107
06/20/2022,09:09:11,0.105
06/20/2022,09:09:12,0.101
06/20/2022,09:09:13,0.093
06/20/2022,09:09:14,0.099
06/20/2022,09:09:15,0.113
06/20/2022,09:09:16,0.099
06/20/2022,09:09:17,0.104
06/20/2022,09:09:18,0.093
06/20/2022,09:09:19,0.105
06/20/2022,09:09:20,0.086
06/20/2022,09:09:21,0.089
06/20/2022,09:09:22,0.099
06/20/2022,09:09:23,0.095
06/20/2022,09:09:24,0.097
06/20/2022,09:09:25,0.116
06/20/2022,09:09:26,0.102
06/20/2022,09:09:27,0.107
06/20/2022,09:09:28,0.088
06/20/2022,09:09:29,0.097
06/20/2022,09:09:30,0.086
06/20/2022,09:09:31,0.109
06/20/2022,09:09:32,0.086
06/20/2022,09:09:33,0.090
06/20/2022,09:09:34,0.094
06/20/2022,09:09:35,0.091
06/20/2022,09:09:36,0.093
06/20/2022,09:09:37,0.100
06/20/2022,09:09:38,0.100
06/20/2022,09:09:39,0.091
06/20/2022,09:09:40,0.091
06/20/2022,09:09:41,0.085
06/20/2022,09:09:42,0.086
06/20/2022,09:09:43,0.086
06/20/2022,09:09:44,0.106
06/20/2022,09:09:45,0.100
06/20/2022,09:09:46,0.099
06/20/2022,09:09:47,0.097
