TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 14
Start Date:,06/20/2022
Start Time:,08:37:05
Duration (dd:hh:mm:ss):,00:00:19:14
Log Interval (mm:ss):,00:01
Number of points:,1154
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.083
,Minimum:,0.047
,Time of Minimum:,08:55:22
,Date of Minimum:,06/20/2022
,Maximum:,0.130
,Time of Maximum:,08:39:11
,Date of Maximum:,06/20/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/20/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/20/2022,08:37:06,0.091
06/20/2022,08:37:07,0.104
06/20/2022,08:37:08,0.107
06/20/2022,08:37:09,0.104
06/20/2022,08:37:10,0.095
06/20/2022,08:37:11,0.090
06/20/2022,08:37:12,0.104
06/20/2022,08:37:13,0.101
06/20/2022,08:37:14,0.096
06/20/2022,08:37:15,0.104
06/20/2022,08:37:16,0.103
06/20/2022,08:37:17,0.095
06/20/2022,08:37:18,0.096
06/20/2022,08:37:19,0.097
06/20/2022,08:37:20,0.107
06/20/2022,08:37:21,0.098
06/20/2022,08:37:22,0.095
06/20/2022,08:37:23,0.108
06/20/2022,08:37:24,0.093
06/20/2022,08:37:25,0.100
06/20/2022,08:37:26,0.098
06/20/2022,08:37:27,0.118
06/20/2022,08:37:28,0.101
06/20/2022,08:37:29,0.108
06/20/2022,08:37:30,0.103
06/20/2022,08:37:31,0.099
06/20/2022,08:37:32,0.096
06/20/2022,08:37:33,0.104
06/20/2022,08:37:34,0.090
06/20/2022,08:37:35,0.090
06/20/2022,08:37:36,0.093
06/20/2022,08:37:37,0.110
06/20/2022,08:37:38,0.108
06/20/2022,08:37:39,0.092
06/20/2022,08:37:40,0.086
06/20/2022,08:37:41,0.100
06/20/2022,08:37:42,0.107
06/20/2022,08:37:43,0.099
06/20/2022,08:37:44,0.097
06/20/2022,08:37:45,0.089
06/20/2022,08:37:46,0.098
06/20/2022,08:37:47,0.104
06/20/2022,08:37:48,0.099
06/20/2022,08:37:49,0.092
06/20/2022,08:37:50,0.102
06/20/2022,08:37:51,0.098
06/20/2022,08:37:52,0.096
06/20/2022,08:37:53,0.100
06/20/2022,08:37:54,0.105
06/20/2022,08:37:55,0.110
06/20/2022,08:37:56,0.097
06/20/2022,08:37:57,0.096
06/20/2022,08:37:58,0.100
06/20/2022,08:37:59,0.098
06/20/2022,08:38:00,0.096
06/20/2022,08:38:01,0.102
06/20/2022,08:38:02,0.112
06/20/2022,08:38:03,0.094
06/20/2022,08:38:04,0.097
06/20/2022,08:38:05,0.093
06/20/2022,08:38:06,0.123
06/20/2022,08:38:07,0.085
06/20/2022,08:38:08,0.096
06/20/2022,08:38:09,0.099
06/20/2022,08:38:10,0.099
06/20/2022,08:38:11,0.108
06/20/2022,08:38:12,0.100
06/20/2022,08:38:13,0.103
06/20/2022,08:38:14,0.096
06/20/2022,08:38:15,0.105
06/20/2022,08:38:16,0.103
06/20/2022,08:38:17,0.106
06/20/2022,08:38:18,0.097
06/20/2022,08:38:19,0.093
06/20/2022,08:38:20,0.095
06/20/2022,08:38:21,0.107
06/20/2022,08:38:22,0.102
06/20/2022,08:38:23,0.098
06/20/2022,08:38:24,0.087
06/20/2022,08:38:25,0.094
06/20/2022,08:38:26,0.090
06/20/2022,08:38:27,0.097
06/20/2022,08:38:28,0.095
